feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
A15_144247,Streptophyta,Viridiplantae,,Sterol,Sterol,Sterol lipids,MS2_diagnostic,Bronze,2
A15_115636,Streptophyta,Viridiplantae,TG(18:3_16:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_172481,Pseudomonadota,Bacteria,PA(16:0_18:2),PA,PA,Glycerophospholipids,LipidSearch,Gold,4
A15_102792,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_123794,Streptophyta,Viridiplantae,DG(15:2_16:1),DG,DG,Glycerolipids,LipidSearch,Gold,4
A15_22729,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_84760,Streptophyta,Viridiplantae,PG(13:0_25:6),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3
A15_108493,Streptophyta,Viridiplantae,,Glycolipid,Glycolipid,Glycerolipids,MS2_diagnostic,Bronze,2
A15_117337,Streptophyta,Viridiplantae,DG(O-17:3_18:4),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_102452,Streptophyta,Viridiplantae,DG(6:0_19:2),DG,DG,Glycerolipids,LipidSearch,Gold,4
A15_66517,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_81307,Streptophyta,Viridiplantae,TG(10:0_18:2)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_173162,Streptophyta,Viridiplantae,MGDG(16:0_16:0),MGDG,MGDG,Glycerolipids,LipidSearch,Bronze,3
A15_89417,Mucoromycota,Fungi,PA(18:2_18:3),PA,PA,Glycerophospholipids,LipidSearch,Gold,4
A15_121706,Streptophyta,Viridiplantae,DG(O-16:2_18:2),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_87342,Streptophyta,Viridiplantae,PG(22:5_16:0),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3
A15_221833,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_222531,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_219129,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_220511,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_219943,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_176891,Pseudomonadota,Bacteria,PE(18:1_15:0),PE,PE,Glycerophospholipids,LipidSearch,Gold,4
A15_139015,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_66728,Streptophyta,Viridiplantae,DG(P-6:0_20:6),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_68573,Streptophyta,Viridiplantae,DG(P-6:0_20:6),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_60597,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_188893,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_213540,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
