original_header,sample_name,kingdom,phylum,class,order,family,genus,species,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:OE21-4-E8F55POS,OE21-4-E8F55POS,,,,,,,,batch_02_OE21-4-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F56POS,OE21-4-E8F56POS,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseuderotiaceae,Geomyces,Unclassified,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8ISTDPOS,OE21-4-E8ISTDPOS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8SBLK1POS,OE21-4-E8SBLK1POS,,,,,,,,batch_02_OE21-4-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8SRM7POS,OE21-4-E8SRM7POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-EQ102POS,OE21-4-EQ102POS,,,,,,,,batch_02_OE21-4-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-EQ103POS,OE21-4-EQ103POS,,,,,,,,batch_02_OE21-4-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-F10POS,OE21-4-F10POS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula Edodes,batch_02_OE21-4-POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-F12POS,OE21-4-F12POS,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Carterellus,Carterellus cornucopioides,batch_02_OE21-4-POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-F29POS,OE21-4-F29POS,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,Tetracladium marchalianum,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-F3POS,OE21-4-F3POS,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber Sp,,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-F5POS,OE21-4-F5POS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,hymenogastraceae,Psilocybe,Psilocybe cyanescens,batch_02_OE21-4-POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
