original_header,sample_name,kingdom,phylum,class,order,family,genus,species,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:OE25FSNELMIPOS,OE25FSNELMIPOS,Archaea,Methanobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina spelaei,batch_04_OE26-1POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25HVOLCANIPOS,OE25HVOLCANIPOS,Archaea,Methanobacteriota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,batch_04_OE26-1POS,Halobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25MFERIDUSPOS,OE25MFERIDUSPOS,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus fervidus,,batch_04_OE26-1POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25MJAMPOS,OE25MJAMPOS,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,batch_04_OE26-1POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25MKANDELERIPOS,OE25MKANDELERIPOS,Archaea,Methanobacteriota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,batch_04_OE26-1POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25MMURBA-POS,OE25MMURBA-POS,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter marburgensis,batch_04_OE26-1POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25MOKINAWAPOS,OE25MOKINAWAPOS,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,batch_04_OE26-1POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25MSTAMSIIPOS,OE25MSTAMSIIPOS,Archaea,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum stamsii,batch_04_OE26-1POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE25NG1POS,OE25NG1POS,Protozoa,Heterolobosea,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,Naegleria galeacystis,batch_04_OE26-1POS,Heterolobosea,Heterolobosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:OE25Rhogo-1POS,OE25Rhogo-1POS,Protozoa,Cercozoa,Granofilosea,Tectofilosida,Rhogostomidae,Rhogostoma,Rhogostoma minus,batch_04_OE26-1POS,Cercozoa,Cercozoa,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:P-ALGOPOS,P-ALGOPOS,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus alginolyticus,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12075-1POS,P12075-1POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12075-2POS,P12075-2POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12075-3POS,P12075-3POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12075-4POS,P12075-4POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12082POS,P12082POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12103-FTPOS,P12103-FTPOS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Paenisporosarcina sp. nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12233-1POS,P12233-1POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Paenisporosarcina sp. nov,,batch_05_OE25-1-ALL,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12233-2POS,P12233-2POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Paenisporosarcina sp. nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12233-3POS,P12233-3POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Paenisporosarcina sp. nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12233-4POS,P12233-4POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Paenisporosarcina sp. nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12265-1POS,P12265-1POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12265-2POS,P12265-2POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12265-3POS,P12265-3POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P12265-4POS,P12265-4POS,Bacteria,Bacillota,Bacilli,Caryophanales,Planococcaceae,Sporosarcina/Planococcus sp.nov,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P13602POS,P13602POS,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus sp. nov.,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P34POS,P34POS,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena torulosa,batch_03_OE23-POS,Cyanobacteriota,Cyanobacteriota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:P37POS,P37POS,Plantae,Streptophyta,Zygnematophyceae,Desmidiales,Desmidiaceae,Micrasterias,Micrasterias mahabuleshwarensis,batch_03_OE23-POS,Charophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:P46POS,P46POS,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Various species,batch_03_OE23-POS,Chlorophyta,Chlorophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:P49POS,P49POS,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Udoteaceae,Chlorodesmis,Various species,batch_03_OE23-POS,Chlorophyta,Chlorophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:P55POS,P55POS,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,Various species,batch_03_OE23-POS,Chlorophyta,Chlorophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:P56POS_20240924144544,P56POS_20240924144544,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Various species,batch_03_OE23-POS,Chlorophyta,Chlorophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:P58POS_20240924151656,P58POS_20240924151656,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas sp.,batch_03_OE23-POS,Chlorophyta,Chlorophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:POOL4-10-POS,POOL4-10-POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-11-POS,POOL4-11-POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-12-POS,POOL4-12-POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-13-POS,POOL4-13-POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-14-POS,POOL4-14-POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-1POS,POOL4-1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-2POS,POOL4-2POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-3POS,POOL4-3POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-4POS,POOL4-4POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-5POS,POOL4-5POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-6POS,POOL4-6POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-7POS,POOL4-7POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-8POS,POOL4-8POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:POOL4-9POS,POOL4-9POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:RN10POS,RN10POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN11POS,RN11POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN12POS,RN12POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN1POS,RN1POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN2POS,RN2POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN3POS,RN3POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN4POS,RN4POS,Mixed,Rootnodules,,,,Root nodule,,batch_05_OE25-1-ALL,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN5POS,RN5POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN6POS,RN6POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN7POS,RN7POS,Mixed,Rootnodules,,,,Root nodule,,batch_05_OE25-1-ALL,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN8POS,RN8POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:RN9POS,RN9POS,Mixed,Rootnodules,,,,Root nodule,,batch_06_ALL-25-2,Rootnodules,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:SRM1POS,SRM1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:SRM2POS,SRM2POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:UV120-FIRSTPOS,UV120-FIRSTPOS,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides sp. nov.,,batch_06_ALL-25-2,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV231-1POS,UV231-1POS,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus sp. nov.,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV231-2POS,UV231-2POS,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus sp. nov.,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV231-3POS,UV231-3POS,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus sp. nov.,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV231-4POS,UV231-4POS,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus sp. nov.,,batch_06_ALL-25-2,Bacillota,Bacillota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV238POS,UV238POS,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter psychrotolerans,,batch_06_ALL-25-2,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV264POS,UV264POS,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium sp. nov.,,batch_06_ALL-25-2,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV287-1POS,UV287-1POS,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter glacialis,,batch_06_ALL-25-2,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV287-2POS,UV287-2POS,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter glacialis,,batch_06_ALL-25-2,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV287-3POS,UV287-3POS,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter glacialis,,batch_06_ALL-25-2,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV287-4POS,UV287-4POS,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter glacialis,,batch_06_ALL-25-2,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:UV331POS,UV331POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas sp. nov.,,batch_06_ALL-25-2,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
