feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier,discovery_method,n_batches_indicator,mean_indval,min_indval,mean_A,mean_B,batches
NEG_83576,870.4884422075254,13.46675537802097,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.321,38970.1,0.0,1.0,1.0,90.64,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_49243,704.3054007784549,2.1514213642609272,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.309,38636.1,0.0,1.0,1.0,90.62,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_108488,1247.879842237919,12.650882008884668,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.281,37868.6,0.0,1.0,1.0,90.56,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_111368,1396.01973900485,16.433077929830368,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.272,37634.5,0.0,1.0,1.0,90.54,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_68921,801.458135659643,16.697216239058644,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.269,37552.4,0.0,1.0,1.0,90.54,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_81213,857.5676175905886,15.381129872355023,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.235,36668.4,0.0,1.0,1.0,90.47,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_112244,1423.9751855556,12.136573947703654,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.231,36546.2,0.0,1.0,1.0,90.46,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_48212,698.3520928917766,3.0196978485559844,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.228,36490.8,0.0,1.0,1.0,90.46,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_78458,844.5021403602498,17.4823643231738,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.219,36238.4,0.0,1.0,1.0,90.44,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_117545,1548.1277196676997,16.03517555044495,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.218,36207.6,0.0,1.0,1.0,90.44,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_111614,1404.0420339799489,16.422856467555075,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.216,36173.0,0.0,1.0,1.0,90.43,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_116425,1524.136513573622,16.674402625113636,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.209,35978.6,0.0,1.0,1.0,90.42,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_81214,857.5676849207011,15.583183756510168,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.212,36064.6,0.0,1.0,1.0,90.42,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_116426,1524.136648508876,16.72505209574585,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.194,35600.7,0.0,1.0,1.0,90.39,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_1477,279.232912155,14.343253848355603,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.187,35428.5,0.0,1.0,1.0,90.37,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_109993,1334.0891218364318,15.655696250455676,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.147,34443.2,0.0,1.0,1.0,90.29,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_114915,1489.1400512297605,17.47808842988032,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.139,34234.6,0.0,1.0,1.0,90.28,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_17522,477.43198606065226,16.5538865746084,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.134,34123.4,0.0,1.0,1.0,90.27,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_19372,493.34655839134655,17.081607006077807,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.132,34071.1,0.0,1.0,1.0,90.26,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_9159,402.24163842984217,2.695778500330277,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.109,33502.0,0.0,1.0,1.0,90.22,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_113495,1457.038898202455,14.125351770320457,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.085,32942.6,0.0,1.0,1.0,90.17,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_51469,716.451677139276,6.473368615169878,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.053,32202.9,0.0,1.0,1.0,90.11,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_115980,1514.151519010371,17.5344897681205,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.048,32085.2,0.0,1.0,1.0,90.1,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_108352,1240.8703715341549,18.6896444656118,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.034,31772.9,0.0,1.0,1.0,90.07,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_108487,1247.879180520382,12.826793323270053,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.02,31451.1,0.0,1.0,1.0,90.04,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_94647,946.6064832479238,18.04381292027404,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.008,31175.6,0.0,1.0,1.0,90.02,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_27109,561.3337393118443,12.486658622631152,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.007,31154.2,0.0,1.0,1.0,90.01,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_111075,1386.0330857790143,16.186670083954798,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.003,31059.6,0.0,1.0,1.0,90.01,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_58730,754.4642583562397,13.82128879984103,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.991,30799.4,0.0,1.0,1.0,89.98,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_118670,1576.1589363292103,16.570638134271537,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.988,30740.6,0.0,1.0,1.0,89.98,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_118154,1562.9949081334073,12.28260251420257,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.986,30698.4,0.0,1.0,1.0,89.97,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_100960,1019.7323462191424,19.229466394120312,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.98,30549.6,0.0,1.0,1.0,89.96,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_39334,643.4713058437535,16.84136292446479,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.976,30478.3,0.0,1.0,1.0,89.95,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_13931,449.1359181193888,1.663696795220323,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.969,30311.1,0.0,1.0,1.0,89.94,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_24551,539.3505056899018,14.0078832131058,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.969,30326.5,0.0,1.0,1.0,89.94,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_88489,898.6209868556249,17.05637903727623,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.963,30190.3,0.0,1.0,1.0,89.93,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_117306,1543.079991105535,13.768774585729808,1,Evosea,Protozoa,4.0,0.0,0.8,1.0,1.0,7.454,174389.5,0.0,1.0,1.0,89.91,5.0,1.0,Platinum,Diamond,composite,,,,,,
NEG_77366,838.5793382229688,16.333941411138508,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.926,29396.3,0.0,1.0,1.0,89.85,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_107351,1189.8059934641583,18.768407265073236,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.91,29073.5,0.0,1.0,1.0,89.82,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_115355,1500.0334162769095,12.155579224833309,1,Evosea,Protozoa,4.0,0.0,0.8,1.0,1.0,7.402,168136.3,0.0,1.0,1.0,89.8,5.0,1.0,Platinum,Diamond,composite,,,,,,
NEG_113092,1446.0879683355038,16.654594245490486,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.895,28753.4,0.0,1.0,1.0,89.79,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_94408,944.5162763285932,14.939305752104932,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.886,28565.5,0.0,1.0,1.0,89.77,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_92836,929.6181914663656,18.03658982612636,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.885,28544.1,0.0,1.0,1.0,89.77,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_74534,825.5834333679775,12.39942359336526,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.816,27170.6,0.0,1.0,1.0,89.63,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_48316,698.5132682623673,13.762583940935311,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.808,27007.3,0.0,1.0,1.0,89.62,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_108111,1228.8543608959124,19.90195222858708,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.801,26882.6,0.0,1.0,1.0,89.6,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_115852,1512.0335416614885,13.304732725579042,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.796,26771.0,0.0,1.0,1.0,89.59,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_101482,1027.598500845628,2.1575130517136367,1,Evosea,Protozoa,4.0,0.0,0.8,1.0,1.0,7.239,150034.4,0.0,1.0,1.0,89.48,5.0,1.0,Platinum,Diamond,composite,,,,,,
NEG_116152,1518.0847385965612,14.841463192868824,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.731,25553.5,0.0,1.0,1.0,89.46,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_40315,650.2943523651494,3.895805457699993,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.691,24837.8,0.0,1.0,1.0,89.38,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_108742,1263.8526684517306,12.358503134177944,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.597,23197.0,0.0,1.0,1.0,89.19,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_118104,1561.9964137023956,12.30455557405042,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.567,22698.0,0.0,1.0,1.0,89.13,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_109389,1301.7974594693137,18.586277215352897,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.564,22661.2,0.0,1.0,1.0,89.13,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_27108,561.333737442061,12.41765092129955,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.533,22144.4,0.0,1.0,1.0,89.07,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_117307,1543.0857221644787,14.829301407785046,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.521,21958.1,0.0,1.0,1.0,89.04,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_20614,505.27608708436463,3.8827139565532462,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.521,21960.2,0.0,1.0,1.0,89.04,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_107368,1190.809003649801,18.75126740664077,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.475,21236.0,0.0,1.0,1.0,88.95,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_84029,872.5500964760142,17.86431372092065,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.474,21228.3,0.0,1.0,1.0,88.95,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_92671,928.4886382529188,12.638605504839024,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.468,21129.0,0.0,1.0,1.0,88.94,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_80754,855.4933978003234,14.070167671861777,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.462,21035.7,0.0,1.0,1.0,88.92,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_116097,1517.078377686227,14.865727418905472,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.44,20702.1,0.0,1.0,1.0,88.88,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_109020,1279.8161235405144,18.58140960217761,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.439,20689.9,0.0,1.0,1.0,88.88,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_80924,856.494991076489,14.004809426889995,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.418,20376.4,0.0,1.0,1.0,88.84,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_46582,688.5293290806824,17.319017694532157,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.313,18876.0,0.0,1.0,1.0,88.63,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_86171,884.5637715251847,16.801037679239403,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.301,18718.5,0.0,1.0,1.0,88.6,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_46487,688.4214928599633,4.919144129166633,1,Evosea,Protozoa,4.0,0.0,0.8,1.0,1.0,6.788,109510.3,0.0,1.0,1.0,88.58,5.0,1.0,Platinum,Diamond,composite,,,,,,
NEG_112038,1417.0449554562897,16.144076629573767,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.25,18025.0,0.0,1.0,1.0,88.5,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_80502,854.4788744010666,12.33039543589218,1,Evosea,Protozoa,4.0,0.0,0.8,1.0,1.0,6.715,104085.3,0.0,1.0,1.0,88.43,5.0,1.0,Platinum,Diamond,composite,,,,,,
NEG_119726,1608.0448714584495,13.156668402585778,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.16,16870.7,0.0,1.0,1.0,88.32,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_37776,634.2308836442241,3.919558982081965,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.15,16751.8,0.0,1.0,1.0,88.3,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_114419,1478.096581443309,17.457608238965435,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,4.13,16514.2,0.0,1.0,1.0,88.26,5.0,1.0,Platinum,Platinum,composite,,,,,,
