mode,row_phylum,column_phylum,row_group,column_group,pair_class,similarity,clipped_at_0_55
POS,Thermoproteota,Chlorophyta,Archaea,Viridiplantae,Cross group,0.0437062364098501,False
POS,Discosea,Chlorophyta,Protists,Viridiplantae,Cross group,0.108524185790661,False
POS,Evosea,Chlorophyta,Protists,Viridiplantae,Cross group,0.032437783570986,False
POS,Heterolobosea,Chlorophyta,Protists,Viridiplantae,Cross group,0.029086512054686,False
POS,Mucoromycota,Chlorophyta,Fungi,Viridiplantae,Cross group,0.042479231461425,False
POS,Ascomycota,Chlorophyta,Fungi,Viridiplantae,Cross group,0.096024397456889,False
POS,Basidiomycota,Chlorophyta,Fungi,Viridiplantae,Cross group,0.085416928681126,False
POS,Streptophyta,Chlorophyta,Viridiplantae,Viridiplantae,Within group,0.299105157513832,False
POS,Arthropoda,Chlorophyta,Animalia,Viridiplantae,Cross group,0.089428244278274,False
POS,Mollusca,Chlorophyta,Animalia,Viridiplantae,Cross group,0.052472271615196,False
POS,Nematoda,Chlorophyta,Animalia,Viridiplantae,Cross group,0.060875418056787,False
POS,Actinomycetota,Streptophyta,Bacteria,Viridiplantae,Cross group,0.085663068798761,False
POS,Bacillota,Streptophyta,Bacteria,Viridiplantae,Cross group,0.091080419835189,False
POS,Pseudomonadota,Streptophyta,Bacteria,Viridiplantae,Cross group,0.0776511462038461,False
POS,Methanobacteriota,Streptophyta,Archaea,Viridiplantae,Cross group,0.063012342071227,False
POS,Thermoproteota,Streptophyta,Archaea,Viridiplantae,Cross group,0.126919807272042,False
POS,Discosea,Streptophyta,Protists,Viridiplantae,Cross group,0.117541947629066,False
POS,Evosea,Streptophyta,Protists,Viridiplantae,Cross group,0.06202856599395,False
POS,Heterolobosea,Streptophyta,Protists,Viridiplantae,Cross group,0.0543524626259611,False
POS,Mucoromycota,Streptophyta,Fungi,Viridiplantae,Cross group,0.10589177710068,False
POS,Ascomycota,Streptophyta,Fungi,Viridiplantae,Cross group,0.267012888970673,False
POS,Basidiomycota,Streptophyta,Fungi,Viridiplantae,Cross group,0.266555478121046,False
POS,Chlorophyta,Streptophyta,Viridiplantae,Viridiplantae,Within group,0.299105157513832,False
