mode,phylum_1,phylum_2,evolutionary_distance,lipid_distance,batch_overlap_jaccard,n_samples_mode,n_samples_phylum_1,n_samples_phylum_2,group_1,group_2,pair_class
NEG,Arthropoda,Basidiomycota,0.936323352522055,0.875372846967131,0.0,192,22,11,Animalia,Fungi,Cross group
NEG,Ascomycota,Basidiomycota,0.299091780023181,0.725633824283114,0.6,192,32,11,Fungi,Fungi,Within group
NEG,Bacillota,Basidiomycota,3.38390821846047,0.984104130671991,0.25,192,28,11,Bacteria,Fungi,Cross group
NEG,Actinomycetota,Chlorophyta,2.88672074937664,0.959936585285507,0.0,192,19,10,Bacteria,Viridiplantae,Cross group
NEG,Arthropoda,Chlorophyta,1.92194662326559,0.867866137422578,1.0,192,22,10,Animalia,Viridiplantae,Cross group
NEG,Ascomycota,Chlorophyta,1.58308938324686,0.913753454505569,0.2,192,32,10,Fungi,Viridiplantae,Cross group
NEG,Bacillota,Chlorophyta,2.84315846091327,0.989743617580017,0.0,192,28,10,Bacteria,Viridiplantae,Cross group
NEG,Basidiomycota,Chlorophyta,1.58639519668387,0.91002212526869,0.0,192,11,10,Fungi,Viridiplantae,Cross group
NEG,Actinomycetota,Discosea,3.43826117989103,0.962919909591578,0.2,192,19,6,Bacteria,Protists,Cross group
NEG,Arthropoda,Discosea,0.996523965640634,0.865758590140981,0.0,192,22,6,Animalia,Protists,Cross group
NEG,Ascomycota,Discosea,0.452214340392541,0.866645832344842,0.166666666666667,192,32,6,Fungi,Protists,Cross group
NEG,Bacillota,Discosea,3.44410883157905,0.985309083747542,0.0,192,28,6,Bacteria,Protists,Cross group
NEG,Basidiomycota,Discosea,0.458337701352765,0.928815756694327,0.25,192,11,6,Fungi,Protists,Cross group
NEG,Chlorophyta,Discosea,1.5762188740254,0.948981861971975,0.0,192,10,6,Viridiplantae,Protists,Cross group
NEG,Actinomycetota,Evosea,3.52610372443383,0.978101962754629,0.0,192,19,5,Bacteria,Protists,Cross group
NEG,Arthropoda,Evosea,1.2024309956325,0.921790790027821,0.0,192,22,5,Animalia,Protists,Cross group
NEG,Ascomycota,Evosea,0.783091293723305,0.918369710329376,0.0,192,32,5,Fungi,Protists,Cross group
NEG,Bacillota,Evosea,3.53195137612185,0.990792785490253,0.0,192,28,5,Bacteria,Protists,Cross group
NEG,Basidiomycota,Evosea,0.78217078587549,0.945585072945734,0.0,192,11,5,Fungi,Protists,Cross group
NEG,Chlorophyta,Evosea,1.86081720064059,0.969084291714989,0.0,192,10,5,Viridiplantae,Protists,Cross group
NEG,Discosea,Evosea,0.842371398994068,0.888889949656926,0.5,192,6,5,Protists,Protists,Within group
NEG,Actinomycetota,Heterolobosea,3.48090935076335,0.947577649933279,0.25,192,19,2,Bacteria,Protists,Cross group
NEG,Arthropoda,Heterolobosea,1.69681844465648,0.995155822350193,0.0,192,22,2,Animalia,Protists,Cross group
NEG,Ascomycota,Heterolobosea,1.33143692501674,0.915960966254323,0.2,192,32,2,Fungi,Protists,Cross group
NEG,Bacillota,Heterolobosea,3.48675700245137,0.996553508255987,0.0,192,28,2,Bacteria,Protists,Cross group
NEG,Basidiomycota,Heterolobosea,1.33051641716892,0.973282863149129,0.333333333333333,192,11,2,Fungi,Protists,Cross group
NEG,Chlorophyta,Heterolobosea,2.24631630813747,0.995079730932748,0.0,192,10,2,Viridiplantae,Protists,Cross group
NEG,Discosea,Heterolobosea,1.3907170302875,0.945694314248688,0.5,192,6,2,Protists,Protists,Within group
NEG,Evosea,Heterolobosea,1.47855957483031,0.995221783012734,0.0,192,5,2,Protists,Protists,Within group
NEG,Actinomycetota,Methanobacteriota,1.99759637357928,0.983129438876711,0.75,192,19,17,Bacteria,Archaea,Cross group
NEG,Arthropoda,Methanobacteriota,3.08027884052215,0.991706736388082,0.0,192,22,17,Animalia,Archaea,Cross group
NEG,Ascomycota,Methanobacteriota,3.00157465818738,0.980602512970659,0.6,192,32,17,Fungi,Archaea,Cross group
NEG,Bacillota,Methanobacteriota,2.0034440252673,0.988135304454544,0.25,192,28,17,Bacteria,Archaea,Cross group
NEG,Basidiomycota,Methanobacteriota,3.00065415033956,0.983079592194866,1.0,192,11,17,Fungi,Archaea,Cross group
NEG,Chlorophyta,Methanobacteriota,2.97041882820169,0.992322825137481,0.0,192,10,17,Viridiplantae,Archaea,Cross group
NEG,Discosea,Methanobacteriota,3.06085476345814,0.98842399542892,0.25,192,6,17,Protists,Archaea,Cross group
NEG,Evosea,Methanobacteriota,3.14869730800094,0.996816301471733,0.0,192,5,17,Protists,Archaea,Cross group
NEG,Heterolobosea,Methanobacteriota,3.10350293433046,0.946559182466462,0.333333333333333,192,2,17,Protists,Archaea,Cross group
NEG,Actinomycetota,Mollusca,3.38873942509035,0.960275535353883,0.0,192,19,2,Bacteria,Animalia,Cross group
NEG,Arthropoda,Mollusca,0.691944724793245,0.793187019188178,1.0,192,22,2,Animalia,Animalia,Within group
NEG,Ascomycota,Mollusca,0.515856060385857,0.874130213365022,0.2,192,32,2,Fungi,Animalia,Cross group
NEG,Bacillota,Mollusca,3.39458707677837,0.988084831269564,0.0,192,28,2,Bacteria,Animalia,Cross group
NEG,Basidiomycota,Mollusca,0.514935552538042,0.868318923379976,0.0,192,11,2,Fungi,Animalia,Cross group
NEG,Chlorophyta,Mollusca,1.66074581859335,0.902804747886217,1.0,192,10,2,Viridiplantae,Animalia,Cross group
NEG,Discosea,Mollusca,0.57513616565662,0.867739248670768,0.0,192,6,2,Protists,Animalia,Cross group
NEG,Evosea,Mollusca,0.79284964419339,0.943531229610016,0.0,192,5,2,Protists,Animalia,Cross group
