feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
A15_201404,Arthropoda,Animalia,DG(O-17:2_17:2),DG,DG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,composite,retained_exact,True,True,exact_retained_cache,C35H71NO4,[M + Na]+,1.0,True,exact_retained_cache,Fatty acids,Spingolipids,Ceramides,Sphingolipids,True,True,False,none,,,,,,True,csi_fingerid_structure_candidate,eligible
A15_201417,Chlorophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,True,exact_retained_cache,C36H63NO6,[M + H]+,1.0,True,exact_retained_cache,Fatty acids,Spingolipids,Lipopeptides,Macrolide lactams,True,True,True,exact_retained_cache,0.741847,MSV000082406,Homo sapiens,CAM0194_GB3_01_1807,,True,csi_fingerid_structure_candidate,unidentified
A15_201464,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7574762,MSV000078830,Pseudomonas aeruginosa PA14,PA14_EM_2_D-12_P1-D-12_01_11753,,True,dreams_neighbour_only,unidentified
A15_201481,Streptophyta,Viridiplantae,Cer(d20:0_18:0),Cer,Cer,Sphingolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C38H77NO3,[M + H]+,1.0,True,fresh_new_or_changed,Fatty acids,Spingolipids,Ceramides,Long-chain ceramides,True,True,True,fresh_new_or_changed,0.7404487,MSV000079697,Homo sapiens,group5_P2_E12,,True,csi_fingerid_structure_candidate,eligible
A15_201482,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C25H38O15,[M + H]+,0.623,True,fresh_new_or_changed,Fatty acids,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Saccharolipids,True,True,True,fresh_new_or_changed,0.7341386,MSV000080961,Chemical standards,Mix_NIST_Standard_MS1_35K_TOP4_0%2C0001,,True,csi_fingerid_structure_candidate,unidentified
A15_201520,Arthropoda,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,True,exact_retained_cache,C40H73NO,[M + H]+,0.88,True,exact_retained_cache,Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids),N-acyl amines,True,True,False,none,,,,,,True,csi_fingerid_structure_candidate,unidentified
A15_201584,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7530996,MSV000079542,Mus musculus,OMICS_IM102_691_4d_Lipid_6_042_POS_150mm_27Apr15_Polaroid_14-12-16,,True,dreams_neighbour_only,unidentified
A15_201596,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.80003905,MSV000084447,Cyanobacteria,SPE_2_1_1_GD8_01_48152,,True,dreams_neighbour_only,unidentified
A15_201669,Streptophyta,Viridiplantae,TG(39:6_13:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.82777894,MSV000083002,Alternaria,Pooled_QC_mid_181003100953,,True,dreams_neighbour_only,eligible
A15_201692,Streptophyta,Viridiplantae,SM(d38:0),SM,SM,Sphingolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C50H90O2,[M + K]+,0.558,False,none,,,,,True,True,True,fresh_new_or_changed,0.8815089,MSV000082083,environmental samples <Bacillariophyta>,Mo_2017_DOM_230_MSMS,,True,csi_fingerid_structure_candidate,eligible
