feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
NEG_111976,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.75521195,MSV000089688,Synechococcus (NCBITaxon:1129),DOM_Interlab_LCMS_Lab13_A45M_Pos_MS2_rep1_raw,,True,dreams_neighbour_only,unidentified
NEG_111985,Streptophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8657721,MSV000081571,Homo sapiens,14HM536.M_GA3_01_2906,,True,dreams_neighbour_only,unidentified
NEG_112025,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7792297,MSV000085120,animalia,BAX738_2x_GD1_01_24186,,True,dreams_neighbour_only,unidentified
NEG_112037,Ascomycota,Fungi,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8170156,MSV000085777,environmental samples <Bacillariophyta> (NCBITaxon:33858),RT_Jake_IODA_B2_3,,True,dreams_neighbour_only,unidentified
NEG_112038,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8362579,MSV000089245,Porifera (NCBITaxon:6040),SI-380S_r1_P2-A-5_01_15226,,True,dreams_neighbour_only,unidentified
NEG_112056,Chlorophyta,Plantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.81858474,MSV000086415,Homo sapiens (NCBITaxon:9606),50302978,,True,dreams_neighbour_only,unidentified
NEG_112079,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,True,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7728841,MSV000088324,Homo sapiens (NCBITaxon:9606),Pos_NC94,,True,dreams_neighbour_only,unidentified
NEG_112082,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.788881,MSV000082647,C57BL/6N,81956,,True,dreams_neighbour_only,unidentified
NEG_112099,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7726601,MSV000078830,Pseudomonas aeruginosa PA14,PA14_EM_11-3_F-12_P1-F-12_01_9185,,True,dreams_neighbour_only,unidentified
NEG_112129,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.75834167,MSV000089869,Pseudomonas aeruginosa (NCBITaxon:287),MHH16563,,True,dreams_neighbour_only,unidentified
NEG_112131,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7844667,MSV000082869,Homo sapiens,95552_R-A6,,True,dreams_neighbour_only,unidentified
NEG_112144,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8152589,MSV000083535,Homo sapiens,OMICS_MHAE003_MOCK_12HRS_1_Lipid_038_POS_7July17_Polaroid_HSST-T3-A923,,True,dreams_neighbour_only,unidentified
