motif,phylum,kingdom,n_motif_in_phylum,n_motif_total,n_phylum_total,observed_frac,expected_frac,enrichment_ratio,odds_ratio,pvalue,padj,significant
motif_243,Methanobacteriota,Archaea,2,13,277,0.1538,0.0484,3.1791,3.594,0.12818161925061478,0.5460273322453314,False
motif_243,Streptophyta,Plantae,4,13,1144,0.3077,0.1999,1.5395,1.7821,0.2520849680690831,0.6450543693352696,False
motif_244,Chlorophyta,Plantae,3,18,303,0.1667,0.0529,3.1485,3.604,0.06645124218956035,0.4179962721280487,False
motif_244,Mollusca,Animalia,2,18,324,0.1111,0.0566,1.963,2.0901,0.2712621153329085,0.6450543693352696,False
motif_244,Mucoromycota,Fungi,4,18,161,0.2222,0.0281,7.9006,10.0983,0.0013555105679189216,0.027596381411002985,True
motif_244,Streptophyta,Plantae,3,18,1144,0.1667,0.1999,0.8339,0.8002,0.7285980950892632,0.8822709588083677,False
motif_245,Arthropoda,Animalia,2,23,744,0.087,0.13,0.669,0.6365,0.8201943164909467,0.9269053289570244,False
motif_245,Chlorophyta,Plantae,3,23,303,0.1304,0.0529,2.4641,2.7005,0.11916135568335219,0.5287532697949424,False
motif_245,Streptophyta,Plantae,8,23,1144,0.3478,0.1999,1.7403,2.1432,0.0708578592075413,0.42743289263903944,False
motif_245,Thermoproteota,Archaea,2,23,306,0.087,0.0535,1.6266,1.6908,0.35038284491332666,0.6663232757687024,False
motif_246,Mucoromycota,Fungi,2,14,161,0.1429,0.0281,5.079,5.8187,0.05733751379659741,0.39502529241971585,False
motif_246,Streptophyta,Plantae,3,14,1144,0.2143,0.1999,1.0722,1.0921,0.551620895907403,0.7857146384578788,False
motif_247,Arthropoda,Animalia,2,17,744,0.1176,0.13,0.9051,0.8922,0.6685352656246046,0.847977386339736,False
motif_247,Chlorophyta,Plantae,2,17,303,0.1176,0.0529,2.2225,2.3947,0.2262830881959069,0.6361082410969265,False
motif_247,Methanobacteriota,Archaea,2,17,277,0.1176,0.0484,2.4311,2.6337,0.19755712210964016,0.6216400789459591,False
motif_247,Streptophyta,Plantae,7,17,1144,0.4118,0.1999,2.0603,2.8135,0.03730433482605491,0.3170868460214668,False
motif_247,Thermoproteota,Archaea,2,17,306,0.1176,0.0535,2.2007,2.3697,0.22962782426241207,0.6361082410969265,False
motif_248,Actinomycetota,Bacteria,2,19,8,0.1053,0.0014,75.3158,111.7451,0.000288865735084299,0.0072716393697182195,True
motif_248,Heterolobosea,Protozoa,3,19,506,0.1579,0.0884,1.7861,1.9391,0.23299852038503024,0.6361082410969265,False
motif_248,Mollusca,Animalia,3,19,324,0.1579,0.0566,2.7895,3.1449,0.08892324251230461,0.4726864630069913,False
motif_248,Streptophyta,Plantae,6,19,1144,0.3158,0.1999,1.5801,1.8522,0.16231106065888742,0.5815292241060912,False
motif_249,Arthropoda,Animalia,3,23,744,0.1304,0.13,1.0035,1.004,0.5904264750184283,0.7998583246804417,False
motif_249,Chlorophyta,Plantae,3,23,303,0.1304,0.0529,2.4641,2.7005,0.11916135568335219,0.5287532697949424,False
motif_249,Heterolobosea,Protozoa,2,23,506,0.087,0.0884,0.9837,0.982,0.6161567202900713,0.8150273444150546,False
motif_249,Nematoda,Animalia,2,23,234,0.087,0.0409,2.1271,2.2451,0.24167844380313738,0.6450543693352696,False
motif_249,Streptophyta,Plantae,7,23,1144,0.3043,0.1999,1.5228,1.7562,0.15896773998750524,0.5780243656767898,False
motif_25,Arthropoda,Animalia,3,25,744,0.12,0.13,0.9232,0.9124,0.6487138107443572,0.838268882788118,False
motif_25,Heterolobosea,Protozoa,2,25,506,0.08,0.0884,0.905,0.8963,0.662022623276376,0.8465859455982212,False
motif_25,Methanobacteriota,Archaea,2,25,277,0.08,0.0484,1.6531,1.7151,0.3428873114110443,0.6590888261924478,False
motif_25,Mollusca,Animalia,5,25,324,0.2,0.0566,3.5333,4.2163,0.01171648999914656,0.1518503505829985,False
motif_25,Streptophyta,Plantae,4,25,1144,0.16,0.1999,0.8006,0.7617,0.7660726117029905,0.892380276411604,False
motif_25,Thermoproteota,Archaea,2,25,306,0.08,0.0535,1.4965,1.5432,0.3894870145964191,0.6899032504826964,False
motif_250,Arthropoda,Animalia,7,18,744,0.3889,0.13,2.9919,4.2905,0.005290446249618583,0.08766068532595854,False
motif_250,Heterolobosea,Protozoa,3,18,506,0.1667,0.0884,1.8854,2.0688,0.20893678888549963,0.6361082410969265,False
motif_250,Mollusca,Animalia,2,18,324,0.1111,0.0566,1.963,2.0901,0.2712621153329085,0.6450543693352696,False
motif_250,Thermoproteota,Archaea,2,18,306,0.1111,0.0535,2.0784,2.2212,0.24982511811740796,0.6450543693352696,False
motif_251,Arthropoda,Animalia,3,28,744,0.1071,0.13,0.8243,0.8024,0.7246126529469271,0.8822709588083677,False
motif_251,Heterolobosea,Protozoa,5,28,506,0.1786,0.0884,2.02,2.2542,0.095539747523854,0.4939146554439293,False
motif_251,Streptophyta,Plantae,7,28,1144,0.25,0.1999,1.2509,1.3366,0.3206138434332344,0.6499149092219259,False
