motif,phylum,kingdom,n_motif_in_phylum,n_motif_total,n_phylum_total,observed_frac,expected_frac,enrichment_ratio,odds_ratio,pvalue,padj,significant
motif_259,Streptophyta,Plantae,5,38,1334,0.1316,0.1552,0.8478,0.824,0.7237807587265053,0.9732962811959506,False
motif_259,Thermoproteota,Archaea,3,38,992,0.0789,0.1154,0.684,0.6559,0.8309565675892296,0.99451782107906,False
motif_260,Evosea,Protozoa,2,33,532,0.0606,0.0619,0.9792,0.9777,0.614734125046072,0.946485841892679,False
motif_260,Methanobacteriota,Archaea,5,33,869,0.1515,0.1011,1.4986,1.591,0.2369355920424265,0.7471987564425434,False
motif_260,Mucoromycota,Fungi,3,33,862,0.0909,0.1003,0.9065,0.8967,0.6568439918002382,0.9497811466344049,False
motif_260,Streptophyta,Plantae,6,33,1334,0.1818,0.1552,1.1715,1.2105,0.4068633522620626,0.8463372131364877,False
motif_260,Thermoproteota,Archaea,8,33,992,0.2424,0.1154,2.1004,2.4644,0.03062261377820914,0.26449862010628994,False
motif_261,Arthropoda,Animalia,3,32,336,0.0938,0.0391,2.3982,2.5567,0.12800051395023795,0.5866379239935103,False
motif_261,Methanobacteriota,Archaea,2,32,869,0.0625,0.1011,0.6182,0.5918,0.8486743577980757,0.9945676565140079,False
motif_261,Mucoromycota,Fungi,2,32,862,0.0625,0.1003,0.6232,0.5971,0.8453086164238348,0.9945676565140079,False
motif_261,Thermoproteota,Archaea,8,32,992,0.25,0.1154,2.1661,2.5674,0.025713893740529944,0.2388162297435473,False
motif_262,Evosea,Protozoa,6,45,532,0.1333,0.0619,2.1541,2.3469,0.05725303389970465,0.40815160821847746,False
motif_262,Mucoromycota,Fungi,2,45,862,0.0444,0.1003,0.4432,0.4159,0.9486682354381354,1.0,False
motif_262,Streptophyta,Plantae,7,45,1334,0.1556,0.1552,1.0022,1.0027,0.5608275527339983,0.9330584541935542,False
motif_262,Thermoproteota,Archaea,2,45,992,0.0444,0.1154,0.3851,0.3552,0.9727160738033557,1.0,False
motif_263,Evosea,Protozoa,7,33,532,0.2121,0.0619,3.427,4.1215,0.0034861426000900443,0.0628663893719666,False
motif_263,Methanobacteriota,Archaea,5,33,869,0.1515,0.1011,1.4986,1.591,0.2369355920424265,0.7471987564425434,False
motif_263,Mollusca,Animalia,2,33,370,0.0606,0.043,1.4079,1.4365,0.41867545586193744,0.8580936331355484,False
motif_263,Mucoromycota,Fungi,5,33,862,0.1515,0.1003,1.5108,1.6055,0.23183921416156986,0.7422632274174904,False
motif_263,Streptophyta,Plantae,5,33,1334,0.1515,0.1552,0.9762,0.9719,0.5972975883040044,0.9359786252766238,False
motif_263,Thermoproteota,Archaea,4,33,992,0.1212,0.1154,1.0502,1.0574,0.5387543879257124,0.9189162967462194,False
motif_264,Chlorophyta,Plantae,3,48,286,0.0625,0.0333,1.8783,1.9468,0.2137944509415788,0.7202696717406181,False
motif_264,Discosea,Protozoa,3,48,136,0.0625,0.0158,3.9499,4.2175,0.03997411635743236,0.31776885563403245,False
motif_264,Evosea,Protozoa,2,48,532,0.0417,0.0619,0.6732,0.6577,0.8067929073441015,0.99451782107906,False
motif_264,Methanobacteriota,Archaea,2,48,869,0.0417,0.1011,0.4121,0.3851,0.9619871193320265,1.0,False
motif_264,Mollusca,Animalia,4,48,370,0.0833,0.043,1.9358,2.032,0.15062590807675114,0.6194270897391854,False
motif_264,Mucoromycota,Fungi,4,48,862,0.0833,0.1003,0.8309,0.8147,0.7230776691279523,0.9732962811959506,False
motif_264,Streptophyta,Plantae,10,48,1334,0.2083,0.1552,1.3423,1.4356,0.20173184608034106,0.6985076256350136,False
motif_264,Thermoproteota,Archaea,3,48,992,0.0625,0.1154,0.5415,0.5095,0.92707457445393,0.9998341823455873,False
motif_265,Arthropoda,Animalia,2,41,336,0.0488,0.0391,1.2478,1.2621,0.48029258295023947,0.9008913938464727,False
motif_265,Chlorophyta,Plantae,3,41,286,0.0732,0.0333,2.199,2.3073,0.1549447968272251,0.6245467195189688,False
motif_265,Mollusca,Animalia,3,41,370,0.0732,0.043,1.6997,1.7612,0.25839607471593773,0.7633316092778542,False
motif_265,Mucoromycota,Fungi,8,41,862,0.1951,0.1003,1.9456,2.1858,0.047938643637551966,0.3712292994986783,False
motif_265,Streptophyta,Plantae,6,41,1334,0.1463,0.1552,0.9429,0.9328,0.6286892228172474,0.9497811466344049,False
motif_265,Thermoproteota,Archaea,5,41,992,0.122,0.1154,1.0566,1.0648,0.5198757227477406,0.9112684706842263,False
motif_266,Arthropoda,Animalia,2,30,336,0.0667,0.0391,1.7054,1.7603,0.328818838071221,0.813577666267855,False
motif_266,Streptophyta,Plantae,4,30,1334,0.1333,0.1552,0.8591,0.8369,0.7061624148707009,0.9644546621865697,False
motif_267,Evosea,Protozoa,4,29,532,0.1379,0.0619,2.2284,2.4358,0.10127379981579102,0.5415048071783112,False
motif_267,Methanobacteriota,Archaea,3,29,869,0.1034,0.1011,1.0232,1.0259,0.5731692595144717,0.9357699537637565,False
motif_267,Mucoromycota,Fungi,2,29,862,0.069,0.1003,0.6877,0.6637,0.8029916791701038,0.99451782107906,False
