formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
7	C23H49O7P	[M + Na]+	C23H49NaO7P+	Fatty acids	0.936	Glycerophospholipids	0.904	Glycerophosphates	0.928	Lipids and lipid-like molecules	0.534							Lipids and lipid-like molecules	0.534	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	491.309	103	1.711	875367245791212780	875355532848396956	875355532848396955	A15_1944	
7	C23H49O7P	[M + Na]+	C23H49NaO7P+	Fatty acids	0.936	Glycerophospholipids	0.904	Glycerophosphates	0.928	Lipids and lipid-like molecules	0.534							Lipids and lipid-like molecules	0.534	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	491.309	103	1.711	875367239566865593	875366998012697033	875366998012697032	A15_1944	
4	C32H46BN3O6	[M + H]+	C32H47BN3O6+	Amino acids and Peptides	0.208	Oligopeptides	0.301	Pinane monoterpenoids	0.120	Benzenoids	0.906	Phenol ethers	0.552					Phenol ethers	0.552	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Boronic acids; Organometallic compounds; Carboxylic acid amides; Boronic acid derivatives; Carboxylic acid derivatives; Organometalloid compounds; Carbonyl compounds; Metalloheterocyclic compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	103	1.715	875367132318510553	875355541866152460	875355541866152459	A15_3816	
4	C32H46BN3O6	[M + H]+	C32H47BN3O6+	Amino acids and Peptides	0.208	Oligopeptides	0.301	Pinane monoterpenoids	0.120	Benzenoids	0.906	Phenol ethers	0.552					Phenol ethers	0.552	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Boronic acids; Organometallic compounds; Carboxylic acid amides; Boronic acid derivatives; Carboxylic acid derivatives; Organometalloid compounds; Carbonyl compounds; Metalloheterocyclic compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	103	1.715	875367117932047554	875367007076589881	875367007076589880	A15_3816	
7	C24H33N5O2	[M + Na]+	C24H33N5NaO2+	Alkaloids	0.745	Pseudoalkaloids (transamidation)	0.231	Other indole diketopiperazine alkaloids	0.084	Organic acids and derivatives	0.885	Carboxylic acids and derivatives	0.845	Amino acids, peptides, and analogues	0.689	Amino acids and derivatives	0.679	Amino acids and derivatives	0.679	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	446.253	104	1.728	875375218089474931	875355539055968172	875355539055968171	A15_2467	
7	C24H33N5O2	[M + Na]+	C24H33N5NaO2+	Alkaloids	0.745	Pseudoalkaloids (transamidation)	0.231	Other indole diketopiperazine alkaloids	0.084	Organic acids and derivatives	0.885	Carboxylic acids and derivatives	0.845	Amino acids, peptides, and analogues	0.689	Amino acids and derivatives	0.679	Amino acids and derivatives	0.679	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	446.253	104	1.728	875367125708287350	875367004178325209	875367004178325208	A15_2467	
5	C32H48O5	[M + Na]+	C32H48NaO5+	Terpenoids	0.972	Diterpenoids	0.419	Tetracyclic diterpenoids	0.126	Benzenoids	0.827	Benzene and substituted derivatives	0.620					Benzene and substituted derivatives	0.620	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organooxygen compounds; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	535.336	104	1.729	875367191877628522	875355527169308380	875355527169308379	A15_1778	
5	C32H48O5	[M + Na]+	C32H48NaO5+	Terpenoids	0.972	Diterpenoids	0.419	Tetracyclic diterpenoids	0.126	Benzenoids	0.827	Benzene and substituted derivatives	0.620					Benzene and substituted derivatives	0.620	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organooxygen compounds; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	535.336	104	1.729	875376554860311008	875366993365407241	875366993361212936	A15_1778	
4	C27H48O5	[M + K]+	C27H48KO5+	Terpenoids	0.835	Diterpenoids	0.253	Pregnane steroids	0.030	Lipids and lipid-like molecules	0.744							Lipids and lipid-like molecules	0.744	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	491.309	105	1.745	875367075804457603	875355543434822508	875355543434822507	A15_4626	
4	C27H48O5	[M + K]+	C27H48KO5+	Terpenoids	0.835	Diterpenoids	0.253	Pregnane steroids	0.030	Lipids and lipid-like molecules	0.744							Lipids and lipid-like molecules	0.744	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	491.309	105	1.745	875367142611332773	875367008766894745	875367008766894744	A15_4626	
