formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C27H48O5	[M + K]+	C27H48KO5+	Terpenoids	0.577	Steroids	0.164	Open-chain polyketides	0.205	Lipids and lipid-like molecules	0.863							Lipids and lipid-like molecules	0.863	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	491.309	103	1.711	875367245791212774	875355532848396956	875355532848396955	A15_1944	
1	C27H48O5	[M + K]+	C27H48KO5+	Terpenoids	0.577	Steroids	0.164	Open-chain polyketides	0.205	Lipids and lipid-like molecules	0.863							Lipids and lipid-like molecules	0.863	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	491.309	103	1.711	875367239566865587	875366998012697033	875366998012697032	A15_1944	
1	C30H50N4O5S	[M + H]+	C30H51N4O5S+	Amino acids and Peptides	0.506	Oligopeptides	0.592	Linear peptides	0.110	Organoheterocyclic compounds	0.907	Biotin and derivatives	0.974					Biotin and derivatives	0.974	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiophenes; Thiolanes; Biotin and derivatives; Imidazolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; Imidazolidinones; Thioethers; Thienoimidazolidines; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Azolidines; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	103	1.715	875367132318510550	875355541866152460	875355541866152459	A15_3816	
1	C30H50N4O5S	[M + H]+	C30H51N4O5S+	Amino acids and Peptides	0.506	Oligopeptides	0.592	Linear peptides	0.110	Organoheterocyclic compounds	0.907	Biotin and derivatives	0.974					Biotin and derivatives	0.974	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiophenes; Thiolanes; Biotin and derivatives; Imidazolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; Imidazolidinones; Thioethers; Thienoimidazolidines; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Azolidines; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	103	1.715	875367117932047551	875367007076589881	875367007076589880	A15_3816	
1	C21H31N7O4	[M + H]+	C21H32N7O4+	Amino acids and Peptides	0.347	Pseudoalkaloids (transamidation)	0.362	Purine nucleosides	0.177	Benzenoids	0.735	Benzene and substituted derivatives	0.477	Phenethylamines	0.504	Amphetamines and derivatives	0.528	Amphetamines and derivatives	0.528	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Imidazopyrimidines; Benzenoids; Amines; Primary amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	446.253	104	1.728	875375218089474925	875355539055968172	875355539055968171	A15_2467	
1	C21H31N7O4	[M + H]+	C21H32N7O4+	Amino acids and Peptides	0.347	Pseudoalkaloids (transamidation)	0.362	Purine nucleosides	0.177	Benzenoids	0.735	Benzene and substituted derivatives	0.477	Phenethylamines	0.504	Amphetamines and derivatives	0.528	Amphetamines and derivatives	0.528	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Imidazopyrimidines; Benzenoids; Amines; Primary amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	446.253	104	1.728	875367125708287344	875367004178325209	875367004178325208	A15_2467	
1	C29H46N2O7	[M + H]+	C29H47N2O7+	Polyketides	0.451	Linear polyketides	0.442	Open-chain polyketides	0.348	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.982	Amino acids, peptides, and analogues	0.884	Amino acids and derivatives	0.879	Amino acids and derivatives	0.879	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	535.336	104	1.729	875367191877628518	875355527169308380	875355527169308379	A15_1778	
1	C29H46N2O7	[M + H]+	C29H47N2O7+	Polyketides	0.451	Linear polyketides	0.442	Open-chain polyketides	0.348	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.982	Amino acids, peptides, and analogues	0.884	Amino acids and derivatives	0.879	Amino acids and derivatives	0.879	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	535.336	104	1.729	875376554860311004	875366993365407241	875366993361212936	A15_1778	
1	C27H42N2O6	[M + H]+	C27H43N2O6+	Alkaloids	0.625	Ornithine alkaloids	0.083	Open-chain polyketides	0.023	Organic acids and derivatives	0.944	Carboxylic acids and derivatives	0.925	Amino acids, peptides, and analogues	0.775	Amino acids and derivatives	0.770	Amino acids and derivatives	0.770	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	491.309	105	1.745	875367075804457600	875355543434822508	875355543434822507	A15_4626	
1	C27H42N2O6	[M + H]+	C27H43N2O6+	Alkaloids	0.625	Ornithine alkaloids	0.083	Open-chain polyketides	0.023	Organic acids and derivatives	0.944	Carboxylic acids and derivatives	0.925	Amino acids, peptides, and analogues	0.775	Amino acids and derivatives	0.770	Amino acids and derivatives	0.770	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	491.309	105	1.745	875367142611332770	875367008766894745	875367008766894744	A15_4626	
