formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C32H59N17O4	[M + H]+	C32H60N17O4+		0.387	108.060	108.060	0.000	35	0.469	2.308	3.238	-6.261		746.496	522	8.704	875370738501442876	875355549021636560	875355549021636559	A15_88884	
1	C32H59N17O4	[M + H]+	C32H60N17O4+		0.387	108.060	108.060	0.000	35	0.469	2.308	3.238	-6.261		746.496	522	8.704	875370691198081937	875367014085273341	875367014085273340	A15_88884	
1	C41H62N2O8	[M + H]+	C41H63N2O8+		0.454	27.821	27.821	0.000	6	0.614	0.737	1.538	0.366		711.458	522	8.707	875370700173892576	875355548900001724	875355548900001723	A15_87908	
1	C41H62N2O8	[M + H]+	C41H63N2O8+		0.454	27.821	27.821	0.000	6	0.614	0.737	1.538	0.366		711.458	522	8.707	875370730607762697	875367013997192937	875367013992998632	A15_87908	
1	C39H69N5O7	[M + Na]+	C39H69N5NaO7+		0.508	7.432	7.432	0.000	3	0.251	-0.571	0.571	-10.924		742.501	523	8.713	875370443180495520	875355548996470732	875355548996470731	A15_88838	
1	C39H69N5O7	[M + Na]+	C39H69N5NaO7+		0.508	7.432	7.432	0.000	3	0.251	-0.571	0.571	-10.924		742.501	523	8.713	875370450591830739	875367014068496121	875367014068496120	A15_88838	
1	C42H67N3O8	[M + H]+	C42H68N3O8+		1.000	80.074	80.074	0.000	30	0.788	2.253	2.555	0.795		742.501	524	8.727	875373238331823698	875355549323626496	875355549323626495	A15_90476	
1	C42H67N3O8	[M + H]+	C42H68N3O8+		1.000	80.074	80.074	0.000	30	0.788	2.253	2.555	0.795		742.501	524	8.727	875370479540917122	875367014307571501	875367014307571500	A15_90476	
1	C28H40	[M + H]+	C28H41+		0.999	95.721	95.721	0.000	28	0.853	3.421	3.588	-1.706		377.320	524	8.729	875370485656212456	875355549092939740	875355549092939739	A15_89294	
1	C28H40	[M + H]+	C28H41+		0.999	95.721	95.721	0.000	28	0.853	3.421	3.588	-1.706		377.320	524	8.729	875370502223713590	875367014139799305	875367014139799304	A15_89294	
1	C41H68O6	[M + K]+	C41H68KO6+		0.992	112.738	112.738	0.000	22	0.470	2.365	3.255	-0.868		695.464	525	8.744	875370796563193623	875355549067773912	875355549067773911	A15_89216	
1	C41H68O6	[M + K]+	C41H68KO6+		0.992	112.738	112.738	0.000	22	0.470	2.365	3.255	-0.868		695.464	525	8.744	875370765059776008	875367014123022085	875367014123022084	A15_89216	
1	C20H40N8O5	[M + H]+	C20H41N8O5+		0.461	37.026	37.026	0.000	7	0.271	2.491	5.681	-2.657		473.318	525	8.746	875370493025604617	875355548946139076	875355548946139075	A15_88476	
1	C20H40N8O5	[M + H]+	C20H41N8O5+		0.461	37.026	37.026	0.000	7	0.271	2.491	5.681	-2.657		473.318	525	8.746	875370499530970371	875367014030747377	875367014030747376	A15_88476	
1	C41H65N3O7	[M + H]+	C41H66N3O7+		0.915	59.298	59.298	0.000	23	0.749	-0.367	1.511	0.745		712.490	526	8.759	875370898501559264	875355549118105568	875355549118105567	A15_89417	
1	C41H65N3O7	[M + H]+	C41H66N3O7+		0.915	59.298	59.298	0.000	23	0.749	-0.367	1.511	0.745		712.490	526	8.759	875370623401351559	875367014160770829	875367014160770828	A15_89417	
1	C29H42N2O2	[M + Na]+	C29H42N2NaO2+		0.942	86.960	86.960	0.000	25	0.763	4.353	4.353	8.957		473.318	526	8.765	875370646168033824	875355549168437224	875355549168437223	A15_89914	
1	C29H42N2O2	[M + Na]+	C29H42N2NaO2+		0.942	86.960	86.960	0.000	25	0.763	4.353	4.353	8.957		473.318	526	8.765	875370512986297834	875367014198519573	875367014198519572	A15_89914	
1	C29H58N8O7	[M + H]+	C29H59N8O7+		0.456	19.767	19.767	0.000	6	0.485	3.881	3.881	8.397		631.455	527	8.783	875370509018486205	875355549344598020	875355549344598019	A15_90873	
1	C29H58N8O7	[M + H]+	C29H59N8O7+		0.456	19.767	19.767	0.000	6	0.485	3.881	3.881	8.397		631.455	527	8.783	875370519680407069	875367014324348721	875367014324348720	A15_90873	
1	C32H50N2O	[M + K]+	C32H50KN2O+		0.665	23.678	23.678	0.000	2	0.490	-1.348	1.348	-0.360		517.355	528	8.799	875370647128529491	875355549143271396	875355549143271395	A15_89458	
1	C32H50N2O	[M + K]+	C32H50KN2O+		0.665	23.678	23.678	0.000	2	0.490	-1.348	1.348	-0.360		517.355	528	8.799	875370648042887790	875367014177548049	875367014177548048	A15_89458	
1	C25H48N2O3	[M + H]+	C25H49N2O3+		0.667	190.651	190.651	0.000	48	0.851	2.266	2.319	9.028		425.378	529	8.819	875370530191332989	875355549189408748	875355549189408747	A15_89986	
1	C25H48N2O3	[M + H]+	C25H49N2O3+		0.667	190.651	190.651	0.000	48	0.851	2.266	2.319	9.028		425.378	529	8.819	875370540949722849	875367014215296793	875367014215296792	A15_89986	
1	C44H64O6	[M + Na]+	C44H64NaO6+		1.000	97.329	97.329	0.000	34	0.704	1.927	2.155	-2.600	TG(18:4_14:6_9:0)	711.458	529	8.823	875370648697199241	875355549369763848	875355549369763847	A15_90966	
1	C44H64O6	[M + Na]+	C44H64NaO6+		1.000	97.329	97.329	0.000	34	0.704	1.927	2.155	-2.600	TG(18:4_14:6_9:0)	711.458	529	8.823	875370530891781776	875367014345320245	875367014345320244	A15_90966	
1	C28H40	[M + H]+	C28H41+		0.999	73.775	73.775	0.000	16	0.710	5.547	5.547	-1.714		377.320	532	8.867	875370540714841790	875355549629810740	875355549629810739	A15_93391	
1	C28H40	[M + H]+	C28H41+		0.999	73.775	73.775	0.000	16	0.710	5.547	5.547	-1.714		377.320	532	8.867	875370575716309029	875367014546646881	875367014546646880	A15_93391	
1	C41H73NO7	[M + K]+	C41H73KNO7+		0.919	131.002	131.002	0.000	39	0.718	1.516	2.873	-1.203		730.501	533	8.889	875370808470822832	875355549445261332	875355549441067027	A15_92302	
1	C41H73NO7	[M + K]+	C41H73KNO7+		0.919	131.002	131.002	0.000	39	0.718	1.516	2.873	-1.203		730.501	533	8.889	875370673699445438	875367014399846209	875367014399846208	A15_92302	
1	C45H64O6	[M + K]+	C45H64KO6+		0.188	4.172	4.172	0.000	0	0.000	3.581	3.581	7.991		739.439	537	8.949	875370578664904809	875355549512370208	875355549512370207	A15_92672	
1	C45H64O6	[M + K]+	C45H64KO6+		0.188	4.172	4.172	0.000	0	0.000	3.581	3.581	7.991		739.439	537	8.949	875370543592134388	875367014454372173	875367014454372172	A15_92672	
1	C45H83N5O8	[M + Na]+	C45H83N5NaO8+		0.238	5.315	5.315	0.000	4	0.514	-0.820	3.269	-5.889		844.608	540	8.996	875370676543183601	875355549860497496	875355549860497495	A15_95945	
1	C45H83N5O8	[M + Na]+	C45H83N5NaO8+		0.238	5.315	5.315	0.000	4	0.514	-0.820	3.269	-5.889		844.608	540	8.996	875370679328201537	875367014710224773	875367014710224772	A15_95945	
1	C34H65NO4	[M + Na]+	C34H65NNaO4+		0.724	38.366	38.366	0.000	13	0.335	5.767	5.767	5.772		574.484	541	9.022	875370549296387930	875355549491398684	875355549491398683	A15_92622	
1	C34H65NO4	[M + Na]+	C34H65NNaO4+		0.724	38.366	38.366	0.000	13	0.335	5.767	5.767	5.772		574.484	541	9.022	875370550118471528	875367014437594953	875367014437594952	A15_92622	
1	C32H70N4O12	[M + H]+	C32H71N4O12+		0.583	92.144	92.144	0.000	36	0.771	1.909	3.150	1.980		703.508	547	9.118	875370748697796002	875355549394929676	875355549394929675	A15_91830	
