feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
A15_111270,Streptophyta,True,MGDG(32:5),MGDG(32:5)+NH4,MGDG,Monogalactosyldiacylglycerol,M+NH4,C,0.0959789212123164,bronze,4.287117554808352,0.006997690677533,1.0,3.0,C41 H72 N1 O10
A15_111294,Streptophyta,False,,,,,,,,,,,,,
A15_111335,Streptophyta,False,,,,,,,,,,,,,
A15_111338,Streptophyta,False,,,,,,,,,,,,,
A15_111385,Streptophyta,True,PC(34:3),PC(34:3)+H,PC,diacyl,M+H,C,2.66466336762168,silver,1.008900729772118,0.0987405070707065,18.0,6.0,C42 H79 N1 O8 P1
A15_111404,Streptophyta,True,TG(15:0_16:1),TG(15:0_16:1)+Na,TG,triacyl,M+Na,C,0.4526003531964637,silver,0.1252966017296028,0.2044358648936803,2.0,2.0,C34 H62 Na1 O6
A15_111434,Streptophyta,False,,,,,,,,,,,,,
A15_111469,Streptophyta,False,,,,,,,,,,,,,
A15_111470,Streptophyta,True,PI(13:0_16:0),PI(13:0_16:0)+H,PI,diacyl,M+H,C,0.4772752461548049,silver,1.7849623190699384,0.0838071872063217,3.0,2.0,C38 H74 O13 P1
A15_111471,Streptophyta,False,,,,,,,,,,,,,
A15_1115,Streptophyta,False,,,,,,,,,,,,,
A15_111511,Streptophyta,False,,,,,,,,,,,,,
A15_111572,Streptophyta,False,,,,,,,,,,,,,
A15_111579,Streptophyta,True,MG(O-26:6),MG(O-26:6)+H,MG,monoalkyl,M+H,C,0.3583766121468939,silver,0.4625435482901296,0.0592309618033723,7.0,1.0,C29 H49 O3
A15_111604,Streptophyta,True,TG(26:7_20:4),TG(26:7_20:4)+NH4,TG,triacyl,M+NH4,C,0.0889160906528449,bronze,0.5685801282005312,0.1960184529067223,1.0,1.0,C49 H76 N1 O6
A15_111637,Streptophyta,False,,,,,,,,,,,,,
A15_111641,Streptophyta,True,MePC(36:7),MePC(36:7)+H,MePC,diacyl,M+H,C,0.298287887623893,bronze,2.1869811148377543,0.1692569834268109,1.0,1.0,C45 H78 N1 O8 P1
A15_111670,Streptophyta,True,DG(16:3_18:3),DG(16:3_18:3)+NH4,DG,diacyl,M+NH4,A,0.95914540597602,gold,0.5148842274799407,0.2344773706451803,3.0,1.0,C37 H64 N1 O5
