feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
NEG_56942,Arthropoda,True,PE(18:0_18:1),PE(18:0_18:1)-H,PE,diacyl,M-H,C,1.4841266105664985,bronze,0.4665771908238342,0.01922559999999951,1.0,1.0,C41 H79 N1 O8 P1
NEG_75653,Arthropoda,False,,,,,,,,,,,,,
NEG_120049,Arthropoda,False,,,,,,,,,,,,,
NEG_28049,Arthropoda,False,,,,,,,,,,,,,
NEG_9117,Arthropoda,False,,,,,,,,,,,,,
NEG_9115,Arthropoda,False,,,,,,,,,,,,,
NEG_8530,Arthropoda,False,,,,,,,,,,,,,
NEG_53872,Arthropoda,False,,,,,,,,,,,,,
NEG_71376,Arthropoda,False,,,,,,,,,,,,,
NEG_17869,Arthropoda,False,,,,,,,,,,,,,
NEG_79052,Arthropoda,False,,,,,,,,,,,,,
NEG_88813,Arthropoda,True,PS(18:0_27:8),PS(18:0_27:8)-H,PS,diacyl,M-H,B,0.2788775139626201,silver,0.042218654148061564,0.0007457999999997966,1.0,1.0,C51 H83 N1 O10 P1
NEG_115573,Arthropoda,False,,,,,,,,,,,,,
NEG_90101,Arthropoda,False,,,,,,,,,,,,,
NEG_120199,Arthropoda,False,,,,,,,,,,,,,
NEG_57574,Arthropoda,False,,,,,,,,,,,,,
NEG_26596,Arthropoda,False,,,,,,,,,,,,,
NEG_15238,Arthropoda,False,,,,,,,,,,,,,
NEG_15709,Arthropoda,False,,,,,,,,,,,,,
NEG_120220,Arthropoda,False,,,,,,,,,,,,,
NEG_14884,Arthropoda,False,,,,,,,,,,,,,
NEG_26519,Arthropoda,False,,,,,,,,,,,,,
NEG_45136,Arthropoda,False,,,,,,,,,,,,,
NEG_33306,Arthropoda,True,Cer(d16:1_20:3),Cer(d16:1_20:3)+HCOO,Cer,acylsphingosines,M+HCOO,A,0.6509358234074882,gold,0.5077408201729842,0.25749328554796946,2.0,3.0,C37 H66 N1 O5
NEG_40292,Arthropoda,False,,,,,,,,,,,,,
NEG_19264,Arthropoda,True,LPE(P-20:0),LPE(P-20:0)-H,LPE,monoalkenyl,M-H,C,0.04962400138170301,bronze,0.1126194607494669,0.05088029999999932,2.0,1.0,C25 H51 N1 O6 P1
NEG_63721,Arthropoda,True,SM(d36:0),SM(d36:0)+HCOO,SM,acyl,M+HCOO,C,0.5885093209057681,silver,0.6003274639898418,0.16369239342057895,3.0,1.0,C42 H86 N2 O8 P1
NEG_69845,Arthropoda,False,,,,,,,,,,,,,
NEG_12955,Arthropoda,False,,,,,,,,,,,,,
NEG_54988,Arthropoda,False,,,,,,,,,,,,,
NEG_40627,Arthropoda,False,,,,,,,,,,,,,
NEG_31941,Arthropoda,False,,,,,,,,,,,,,
NEG_89919,Arthropoda,False,,,,,,,,,,,,,
NEG_88622,Arthropoda,False,,,,,,,,,,,,,
NEG_30238,Arthropoda,False,,,,,,,,,,,,,
NEG_93175,Arthropoda,False,,,,,,,,,,,,,
NEG_115077,Arthropoda,False,,,,,,,,,,,,,
NEG_114027,Arthropoda,False,,,,,,,,,,,,,
NEG_98790,Arthropoda,False,,,,,,,,,,,,,
NEG_87256,Arthropoda,False,,,,,,,,,,,,,
NEG_13665,Arthropoda,False,,,,,,,,,,,,,
NEG_60850,Arthropoda,False,,,,,,,,,,,,,
NEG_30294,Arthropoda,False,,,,,,,,,,,,,
NEG_119712,Arthropoda,False,,,,,,,,,,,,,
NEG_31388,Arthropoda,True,WE(O-20:0_17:2),WE(O-20:0_17:2)+HCOO,WE,Wax monoesters,M+HCOO,C,0.7372535417200431,silver,0.3088373355769303,0.03642890000000065,5.0,1.0,C38 H71 O4
NEG_59613,Arthropoda,False,,,,,,,,,,,,,
NEG_76153,Arthropoda,False,,,,,,,,,,,,,
NEG_12851,Arthropoda,False,,,,,,,,,,,,,
NEG_22739,Arthropoda,False,,,,,,,,,,,,,
NEG_90652,Arthropoda,False,,,,,,,,,,,,,
NEG_7422,Arthropoda,False,,,,,,,,,,,,,
NEG_16940,Arthropoda,False,,,,,,,,,,,,,
NEG_42668,Arthropoda,True,Cer(d16:1_24:1),Cer(d16:1_24:1)+HCOO,Cer,acylsphingosines,M+HCOO,A,1.2964892133786772,gold,0.08588692252016726,0.23369109360329077,4.0,2.0,C41 H78 N1 O5
NEG_68662,Arthropoda,False,,,,,,,,,,,,,
NEG_34735,Arthropoda,False,,,,,,,,,,,,,
NEG_38676,Arthropoda,False,,,,,,,,,,,,,
NEG_22588,Arthropoda,False,,,,,,,,,,,,,
