soil_id,feature_id,soil_pepmass,phylum,kingdom,max_cosine,confirmed
10966,NEG_52065,719.4879019387674,Actinomycetota,Bacteria,0.7744903778928952,True
10974,NEG_59626,758.5429808221521,Actinomycetota,Bacteria,0.5719351670240206,False
10981,NEG_83468,869.5443207132396,Chlorophyta,Plantae,0.46374145236538755,False
10990,NEG_73842,822.5519678383254,Actinomycetota,Bacteria,0.19265781311687144,False
11008,NEG_39161,642.4779894716972,Actinomycetota,Bacteria,0.7538272742370781,True
11011,NEG_108610,1254.768303538718,Discosea,Protozoa,0.0,False
10993,NEG_24218,536.4688026092382,Basidiomycota,Fungi,0.0,False
11007,NEG_43505,669.4950410847836,Streptophyta,Plantae,0.0,False
11001,NEG_100276,1009.612663942308,Chlorophyta,Plantae,0.8056747440614883,True
11026,NEG_54371,731.4873110707699,Actinomycetota,Bacteria,0.2949140563913732,False
11056,NEG_101825,1033.6116051909803,Chlorophyta,Plantae,0.0,False
11061,NEG_27530,564.4636690734801,Chlorophyta,Plantae,0.8664376146610334,True
11065,NEG_39304,643.4357438585788,Pseudomonadota,Bacteria,0.5989618991105982,False
11079,NEG_58552,753.4720635221165,Actinomycetota,Bacteria,0.921138906231267,True
11095,NEG_42841,665.5120083768126,Chlorophyta,Plantae,0.35132950494034976,False
11110,NEG_44740,677.4405513927207,Bacillota,Bacteria,0.45015895572349857,False
11092,NEG_57092,745.5037739512502,Actinomycetota,Bacteria,0.8455059547542735,True
11108,NEG_62131,770.5440947593383,Actinomycetota,Bacteria,0.8585815711219846,True
11125,NEG_40083,648.46192559823,Actinomycetota,Bacteria,0.8364860580316511,True
11121,NEG_53083,724.5379306825039,Chlorophyta,Plantae,0.4991294461183118,False
11149,NEG_15878,463.416128171253,Actinomycetota,Bacteria,0.0,False
11151,NEG_51151,714.5090571200848,Ascomycota,Fungi,0.8515503841835595,True
11156,NEG_58603,753.516128804557,Actinomycetota,Bacteria,0.0,False
11177,NEG_43664,670.4828745069234,Discosea,Protozoa,0.7573543946811625,True
11188,NEG_42131,661.4659273622586,Actinomycetota,Bacteria,0.299648997978149,False
11159,NEG_43106,667.4352169330223,Actinomycetota,Bacteria,0.5863917408956224,False
11186,NEG_44301,674.4766177557341,Actinomycetota,Bacteria,0.45621360767594965,False
11194,NEG_58977,755.4981212868487,Mucoromycota,Fungi,0.44225939855934243,False
11204,NEG_32958,602.4829772003335,Arthropoda,Animalia,0.682270204141147,False
11206,NEG_72640,817.5153455101619,Actinomycetota,Bacteria,0.15762873148715914,False
11195,NEG_28453,571.4375054277745,Basidiomycota,Fungi,0.0,False
11229,NEG_50790,712.5379466326073,Basidiomycota,Fungi,0.6012187999131848,False
11219,NEG_63228,775.5336607571415,Actinomycetota,Bacteria,0.1957454987920759,False
11235,NEG_78733,845.5437498346657,Chlorophyta,Plantae,0.6438598796714721,False
11233,NEG_74672,826.5310713001168,Basidiomycota,Fungi,0.0,False
11226,NEG_64043,779.507930510685,Actinomycetota,Bacteria,0.019633684699150993,False
11240,NEG_94227,942.5570112851572,Arthropoda,Animalia,0.0,False
11247,NEG_48628,700.4927372995694,Actinomycetota,Bacteria,0.8958469301365947,True
11243,NEG_47063,691.4937512546898,Discosea,Protozoa,0.41998801068303043,False
11262,NEG_32502,599.4675617595259,Arthropoda,Animalia,0.7682467764062039,True
11268,NEG_45129,679.516073384255,Basidiomycota,Fungi,0.0,False
11277,NEG_68809,800.5454934421308,Actinomycetota,Bacteria,0.6588200485359164,False
11286,NEG_56224,741.5169927355935,Actinomycetota,Bacteria,0.504360044334005,False
11297,NEG_31013,589.4482962350423,Streptophyta,Plantae,0.5637627626007918,False
11331,NEG_92598,927.5823741542328,Actinomycetota,Bacteria,0.0,False
11361,NEG_26532,556.4960737738534,Arthropoda,Animalia,0.6115646072689845,False
11373,NEG_25284,545.4219039892746,Arthropoda,Animalia,0.0,False
11378,NEG_90091,909.5805043673348,Actinomycetota,Bacteria,0.30236845806846,False
11362,NEG_41358,656.4940175255942,Actinomycetota,Bacteria,0.2966978843563344,False
11404,NEG_27267,562.4611418241144,Pseudomonadota,Bacteria,0.6075989397015267,False
11369,NEG_61442,767.5349016097399,Actinomycetota,Bacteria,0.5367747876552347,False
11417,NEG_65716,787.4760261400555,Chlorophyta,Plantae,0.5069607244636342,False
11414,NEG_23096,526.4844660417963,Pseudomonadota,Bacteria,0.3439178475323099,False
11418,NEG_40897,653.5121857602606,Ascomycota,Fungi,0.4598884856018961,False
11413,NEG_26202,553.4847805462563,Actinomycetota,Bacteria,0.32268769789242874,False
11426,NEG_88940,901.5080030090176,Mucoromycota,Fungi,0.5620352227054902,False
11436,NEG_76256,833.5198694001019,Actinomycetota,Bacteria,0.9947727358164908,True
11450,NEG_49843,707.4876279837437,Actinomycetota,Bacteria,0.9223366596387654,True
11477,NEG_54178,730.5040997681087,Pseudomonadota,Bacteria,0.3250575962460174,False
11460,NEG_66030,788.5456929811323,Actinomycetota,Bacteria,0.3617689537961577,False
11469,NEG_26286,554.4801646392209,Arthropoda,Animalia,0.0,False
11475,NEG_72862,818.5182957379518,Actinomycetota,Bacteria,0.0,False
11482,NEG_36595,626.4825231590245,Chlorophyta,Plantae,0.0,False
11496,NEG_71701,813.4916511565883,Pseudomonadota,Bacteria,0.12671093006743236,False
11497,NEG_73593,821.5178913811777,Ascomycota,Fungi,0.4315410332170208,False
11508,NEG_30708,587.4331128279824,Chlorophyta,Plantae,0.6204426123239729,False
11509,NEG_32352,598.5062080211186,Actinomycetota,Bacteria,0.8842547497897234,True
11523,NEG_19624,495.4424506516513,Streptophyta,Plantae,0.9224081125853869,True
11522,NEG_26052,552.4999500127545,Actinomycetota,Bacteria,0.0,False
11559,NEG_34200,610.5057442246431,Basidiomycota,Fungi,0.03522147931711596,False
11536,NEG_81555,859.5351341020913,Ascomycota,Fungi,0.5988823357133012,False
11552,NEG_46554,688.4925755917326,Arthropoda,Animalia,0.8560271353861163,True
11553,NEG_59580,758.498439041469,Actinomycetota,Bacteria,0.8182804286735559,True
11554,NEG_98369,985.6122419901604,Chlorophyta,Plantae,0.889789389853119,True
11564,NEG_50730,712.4922517897461,Actinomycetota,Bacteria,0.6650183246114061,False
11545,NEG_10043,411.3848358967731,Basidiomycota,Fungi,0.9510292405957468,True
11566,NEG_44461,675.4810981913873,Actinomycetota,Bacteria,0.5866012116940468,False
11577,NEG_44302,674.477389550057,Actinomycetota,Bacteria,0.8775273324039186,True
11579,NEG_56366,742.4653852005563,Bacillota,Bacteria,0.46505821578630036,False
11581,NEG_79453,848.56769845269,Chlorophyta,Plantae,0.0,False
11583,NEG_47355,693.450526964472,Bacillota,Bacteria,0.3448632072040701,False
11593,NEG_74713,826.5621845037132,Actinomycetota,Bacteria,0.949721506462803,True
11595,NEG_87845,894.5485448871858,Mucoromycota,Fungi,0.0,False
11603,NEG_8782,397.369010846145,Discosea,Protozoa,0.9223855633165049,True
11615,NEG_101478,1027.5835573107686,Chlorophyta,Plantae,0.0,False
11616,NEG_10386,415.322061446039,Streptophyta,Plantae,0.9298566724790309,True
11617,NEG_70430,807.5041166585384,Actinomycetota,Bacteria,0.0,False
11629,NEG_95976,959.5959215052168,Chlorophyta,Plantae,0.7489032050893132,True
11632,NEG_57854,749.5007608586463,Actinomycetota,Bacteria,0.0,False
11657,NEG_65082,784.5154356418079,Actinomycetota,Bacteria,0.8569993346243197,True
11646,NEG_68810,800.5455264526635,Actinomycetota,Bacteria,0.7566652078130919,True
11678,NEG_57089,745.5042697102313,Actinomycetota,Bacteria,0.7594834411586764,True
11661,NEG_30128,583.4582748767541,Chlorophyta,Plantae,0.7300371667313491,True
11662,NEG_76942,836.5670201007723,Arthropoda,Animalia,0.15701525210854755,False
11666,NEG_63145,775.475172279686,Bacillota,Bacteria,0.41926742302962294,False
11699,NEG_60432,762.5309456584049,Evosea,Protozoa,0.4830962985290113,False
11686,NEG_53463,726.5538043557244,Actinomycetota,Bacteria,0.6474272976041991,False
11688,NEG_62617,772.5589811932997,Actinomycetota,Bacteria,0.9257042495392994,True
11693,NEG_66277,789.5497221447849,Actinomycetota,Bacteria,0.9603439352672234,True
11700,NEG_18029,481.42676420219215,Streptophyta,Plantae,0.37795281029038086,False
11681,NEG_59793,759.4826160855472,Mucoromycota,Fungi,0.5810903248253979,False
11715,NEG_59000,755.5321331172865,Discosea,Protozoa,0.12098796035669065,False
11710,NEG_49126,703.4566637626599,Chlorophyta,Plantae,0.6394855196761177,False
11711,NEG_51145,714.5082954002796,Actinomycetota,Bacteria,0.7169580138217067,True
11724,NEG_63472,776.5459337591984,Actinomycetota,Bacteria,0.29157429559495307,False
11726,NEG_48629,700.4928844322357,Basidiomycota,Fungi,0.8513624555516842,True
11718,NEG_47754,695.4666851559654,Actinomycetota,Bacteria,0.9720167435607167,True
11713,NEG_35519,619.435306539606,Actinomycetota,Bacteria,0.7309583315676539,True
11750,NEG_31348,591.4631879317797,Chlorophyta,Plantae,0.0,False
11749,NEG_60052,760.5576136123565,Basidiomycota,Fungi,0.7158883129692056,True
11747,NEG_67150,793.5238768374415,Ascomycota,Fungi,0.0,False
11790,NEG_45890,684.4873505838979,Actinomycetota,Bacteria,0.07994498308745447,False
11789,NEG_70091,805.6077652960489,Actinomycetota,Bacteria,0.0697976481108359,False
11804,NEG_54756,733.5034826870619,Actinomycetota,Bacteria,0.5601748155737514,False
11815,NEG_27794,566.4795367477877,Basidiomycota,Fungi,0.9209985269655228,True
11851,NEG_68944,801.4917770417695,Pseudomonadota,Bacteria,0.059891249272339964,False
11813,NEG_46756,689.5205278391093,Arthropoda,Animalia,0.4858704531348293,False
11826,NEG_70862,809.5196742936247,Actinomycetota,Bacteria,0.8289930118035653,True
11834,NEG_83854,871.5591845532172,Actinomycetota,Bacteria,0.0,False
11839,NEG_84995,877.5076878829285,Actinomycetota,Bacteria,0.04113279922008222,False
11884,NEG_43476,669.4511321953329,Streptophyta,Plantae,0.996438559314591,True
11837,NEG_29600,579.4998608942906,Actinomycetota,Bacteria,0.6640998751634436,False
11852,NEG_68241,798.4524581763803,Bacillota,Bacteria,0.08184800911923007,False
11862,NEG_54134,730.4657135724342,Bacillota,Bacteria,0.5793152691416679,False
11861,NEG_55633,738.5089220409294,Actinomycetota,Bacteria,0.953771533833307,True
11877,NEG_42468,663.4814606042196,Actinomycetota,Bacteria,0.8244760099875739,True
11863,NEG_44619,676.4914283168035,Actinomycetota,Bacteria,0.9216740599367457,True
11866,NEG_42307,662.4774485328912,Actinomycetota,Bacteria,0.9412818391419896,True
11878,NEG_79196,847.5344068568655,Ascomycota,Fungi,0.14138305674996432,False
11891,NEG_64486,781.5242213083023,Actinomycetota,Bacteria,0.21313773789144366,False
11892,NEG_69288,802.5612735922236,Actinomycetota,Bacteria,0.03992926595086389,False
11899,NEG_62329,771.5253055820584,Actinomycetota,Bacteria,0.2585838974188001,False
11920,NEG_50736,712.4930700338119,Actinomycetota,Bacteria,0.9461059245397271,True
11935,NEG_73137,819.5398497557279,Evosea,Protozoa,0.15322631876080975,False
11928,NEG_32356,598.5063377212788,Basidiomycota,Fungi,0.8166499856540034,True
11989,NEG_106906,1173.7656513213428,Bacillota,Bacteria,0.0,False
11918,NEG_57460,747.4829487139473,Actinomycetota,Bacteria,0.3921764147684118,False
11961,NEG_106973,1175.7772874425716,Actinomycetota,Bacteria,0.3954665762758141,False
11981,NEG_6108,365.34254643287073,Arthropoda,Animalia,0.9255348218181341,True
11990,NEG_53965,729.4726885707481,Actinomycetota,Bacteria,0.9474692772331662,True
12001,NEG_93527,935.5959968464914,Actinomycetota,Bacteria,0.7831475304106519,True
12002,NEG_25829,550.4846715920851,Ascomycota,Fungi,0.25679570594884277,False
12020,NEG_44617,676.4831684630728,Bacillota,Bacteria,0.4129904033702227,False
12004,NEG_46729,689.4963790885994,Actinomycetota,Bacteria,0.6879591753122248,False
12015,NEG_46557,688.4929841979894,Actinomycetota,Bacteria,0.8533433928637254,True
12018,NEG_59134,756.4812703564693,Actinomycetota,Bacteria,0.4038767345441072,False
12021,NEG_49001,702.5067470066753,Actinomycetota,Bacteria,0.7050578630036481,True
12017,NEG_41507,657.4510794469068,Basidiomycota,Fungi,0.5262075896805729,False
12029,NEG_67147,793.5155434160398,Actinomycetota,Bacteria,0.3888249975753887,False
12041,NEG_58617,753.5293487006498,Evosea,Protozoa,0.2698470170387601,False
12067,NEG_67361,794.5164575794228,Actinomycetota,Bacteria,0.0,False
12049,NEG_29872,581.5158493564936,Arthropoda,Animalia,0.007914343486748479,False
12058,NEG_66198,789.4914290880649,Bacillota,Bacteria,0.2667816870437898,False
12065,NEG_52469,721.5033928339366,Actinomycetota,Bacteria,0.9664372550520768,True
12052,NEG_51888,718.5036222817395,Pseudomonadota,Bacteria,0.19723197932421546,False
12080,NEG_51681,717.4726564538564,Basidiomycota,Fungi,0.0,False
12090,NEG_44017,672.4981551823115,Actinomycetota,Bacteria,0.8997133741922334,True
12091,NEG_92095,923.5960260127788,Actinomycetota,Bacteria,0.879815878761057,True
12102,NEG_55968,740.4859454150134,Mucoromycota,Fungi,0.16043612442733515,False
12087,NEG_36231,623.5383091034611,Chlorophyta,Plantae,0.8172153887673217,True
12092,NEG_74044,823.5351051020374,Discosea,Protozoa,0.788712768987124,True
12111,NEG_35088,616.5169020553838,Evosea,Protozoa,0.8536495728610441,True
12112,NEG_37751,633.5071622917833,Evosea,Protozoa,0.9866356600075905,True
12115,NEG_28343,570.5107549484155,Evosea,Protozoa,0.5870840300921222,False
12117,NEG_33634,606.4880754463129,Evosea,Protozoa,0.5355125235108159,False
12122,NEG_73130,819.5326167390617,Actinomycetota,Bacteria,0.36854650380627196,False
12150,NEG_29603,579.5004783701936,Basidiomycota,Fungi,0.7139519630255419,True
12147,NEG_53830,728.5245900631279,Pseudomonadota,Bacteria,0.6887146224758458,False
12146,NEG_76722,835.5355134339114,Actinomycetota,Bacteria,0.8380659189481386,True
12148,NEG_89257,903.5240153670164,Mucoromycota,Fungi,0.33116985302196844,False
12159,NEG_64631,782.4961844510551,Bacillota,Bacteria,0.0,False
