feature_id,phylum,discovery_method,reference_batch,reference_scan,precursor_mz,has_usable_ms2,n_peaks_total,n_peaks_above_threshold,n_diagnostic_fragments,n_neutral_losses,n_diagnostic_total,assigned_class,assigned_subclass,classification_confidence,classification_reasoning,diagnostic_ions_detail,intensity_threshold_pct
A15_128777,Streptophyta,indval_consensus,OE23-POS,128777,1625.067706,True,35,14,0,0,0,Unknown,Unknown,None,,,5.0
A15_12887,Streptophyta,indval_consensus,OE23-POS,12887,852.490859,True,114,47,0,0,0,Unknown,Unknown,None,,,5.0
A15_129033,Streptophyta,indval_consensus,OE23-POS,129033,590.483402,True,61,61,1,0,1,Quinone,Ubiquinone,Medium,Ubiquinone headgroup fragment,"fragment:197.0808(Ubiquinone_headgroup,99%)",5.0
A15_129079,Streptophyta,indval_consensus,OE23-POS,129079,731.563622,True,28,4,0,0,0,Unknown,Unknown,None,,,5.0
A15_129125,Streptophyta,indval_consensus,OE23-POS,129125,649.522504,True,60,60,1,0,1,Phospholipid,PC/SM,Medium,Phosphocholine at 17% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,17%)",5.0
A15_129173,Streptophyta,indval_consensus,OE23-POS,129173,333.241856,True,65,32,14,0,14,Terpenoid,Terpenoid,Medium,14 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,33%); fragment:81.0705(Monoterpene_frag,100%); fragment:93.0704(Toluenium,42%); fragment:95.0860(Methylcyclohexenyl,72%); fragment:105.0704(Xylene_cation,24%); fragment:107.0859(Dimethylcyclohexenyl,27%); fragment:109.1015(Sesquiterpene_frag,37%); fragment:119.0860(C9H11+,20%); fragment:121.1014(Sesquiterpene_frag2,30%); fragment:123.1173(Sesquiterpene_frag3,12%); fragment:133.1013(Diterpene_frag,32%); fragment:135.1170(Diterpene_frag2,20%); fragment:147.1170(C11H15+,11%); fragment:149.1325(Sesterterpene_frag,9%)",5.0
A15_129231,Streptophyta,indval_consensus,OE23-POS,129231,795.571507,True,119,23,0,2,2,Sphingolipid,Ceramide,Medium,Sphingoid base fragments,"loss:180.0634(Hexose+H2O_loss,43%); loss:180.0634(Hexose_ceramide,43%)",5.0
A15_129258,Streptophyta,indval_consensus,OE23-POS,129258,430.377442,True,49,29,4,0,4,Terpenoid,Terpenoid,Low,4 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:69.0705(Isoprene_unit,13%); fragment:81.0704(Monoterpene_frag,7%); fragment:95.0861(Methylcyclohexenyl,8%); fragment:109.1013(Sesquiterpene_frag,8%)",5.0
A15_129277,Streptophyta,indval_consensus,OE23-POS,129277,693.545744,True,38,25,1,0,1,Phospholipid,PC/SM,Medium,Phosphocholine at 8% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,8%)",5.0
A15_129287,Streptophyta,indval_consensus,OE23-POS,129287,1084.761716,True,130,22,0,0,0,Unknown,Unknown,None,,,5.0
A15_129415,Streptophyta,indval_consensus,OE23-POS,129415,813.490235,False,0,0,0,0,0,Unknown,Unknown,None,No MS2 peaks,,5.0
A15_129475,Streptophyta,indval_consensus,OE23-POS,129475,625.520864,True,57,16,0,0,0,Unknown,Unknown,None,,,5.0
A15_129525,Streptophyta,indval_consensus,OE23-POS,129525,819.570509,True,43,28,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,100%)",5.0
A15_129589,Streptophyta,indval_consensus,OE23-POS,129589,704.544956,True,167,4,1,0,1,Phospholipid,PC/SM,Medium,Phosphocholine at 7% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,7%)",5.0
A15_129608,Streptophyta,indval_consensus,OE23-POS,129608,810.570067,True,117,50,3,0,3,Sphingolipid,SM,High,Sphingoid base + phosphocholine → SM,"fragment:184.0735(Phosphocholine_C5H13NO4P,37%); fragment:264.2393(Sphingoid_d18:1,6%); fragment:197.0809(Ubiquinone_headgroup,6%)",5.0
A15_129612,Streptophyta,indval_consensus,OE23-POS,129612,1568.092484,True,28,5,0,0,0,Unknown,Unknown,None,,,5.0
A15_129653,Streptophyta,indval_consensus,OE23-POS,129653,1567.088994,True,71,4,0,0,0,Unknown,Unknown,None,,,5.0
A15_129676,Streptophyta,indval_consensus,OE23-POS,129676,792.597488,True,82,14,0,0,0,Unknown,Unknown,None,,,5.0
A15_129677,Streptophyta,indval_consensus,OE23-POS,129677,793.600806,True,70,22,0,0,0,Unknown,Unknown,None,,,5.0
A15_129828,Chlorophyta,composite,OE23-POS,129828,305.210849,True,109,46,15,0,15,Terpenoid,Terpenoid,Medium,15 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0705(Isoprene_unit,41%); fragment:81.0704(Monoterpene_frag,71%); fragment:93.0703(Toluenium,81%); fragment:95.0859(Methylcyclohexenyl,59%); fragment:105.0701(Xylene_cation,31%); fragment:107.0858(Dimethylcyclohexenyl,32%); fragment:109.1015(Sesquiterpene_frag,18%); fragment:119.0859(C9H11+,28%); fragment:121.1012(Sesquiterpene_frag2,27%); fragment:123.1169(Sesquiterpene_frag3,11%); fragment:133.1011(Diterpene_frag,21%); fragment:135.1171(Diterpene_frag2,13%); fragment:147.1173(C11H15+,12%); fragment:149.1326(Sesterterpene_frag,8%); fragment:161.1324(C12H17+,5%)",5.0
A15_129839,Streptophyta,indval_consensus,OE23-POS,129839,980.586174,True,65,35,3,0,3,Terpenoid,Terpenoid,Low,3 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:81.0706(Monoterpene_frag,6%); fragment:109.1015(Sesquiterpene_frag,8%); fragment:123.1174(Sesquiterpene_frag3,5%)",5.0
A15_129864,Streptophyta,indval_consensus,OE23-POS,129864,432.354799,True,52,24,4,0,4,Terpenoid,Terpenoid,Low,4 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,13%); fragment:81.0703(Monoterpene_frag,12%); fragment:95.0859(Methylcyclohexenyl,13%); fragment:109.1015(Sesquiterpene_frag,5%)",5.0
A15_129985,Streptophyta,indval_consensus,OE23-POS,129985,1573.044687,True,30,9,0,0,0,Unknown,Unknown,None,,,5.0
A15_130084,Arthropoda,composite,OE23-POS,130084,590.428809,True,48,48,1,0,1,Quinone,Ubiquinone,Medium,Ubiquinone headgroup fragment,"fragment:197.0810(Ubiquinone_headgroup,63%)",5.0
A15_130230,Streptophyta,indval_consensus,OE23-POS,130230,786.493157,True,56,7,1,0,1,Phospholipid,PC/SM,Medium,Phosphocholine at 15% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,15%)",5.0
A15_130287,Streptophyta,indval_consensus,OE23-POS,130287,724.570534,True,26,8,0,0,0,Unknown,Unknown,None,,,5.0
A15_130299,Streptophyta,indval_consensus,OE23-POS,130299,1732.160261,True,32,8,0,0,0,Unknown,Unknown,None,,,5.0
A15_1303,Arthropoda,composite,OE23-POS,1303,518.239027,True,151,25,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 39% → PC or SM,"fragment:184.0731(Phosphocholine_C5H13NO4P,39%)",5.0
A15_130352,Nematoda,composite,OE23-POS,130352,686.181965,True,42,29,1,0,1,Phospholipid,PC/SM,Medium,Phosphocholine at 10% → PC or SM,"fragment:184.0741(Phosphocholine_C5H13NO4P,10%)",5.0
A15_130370,Streptophyta,indval_consensus,OE23-POS,130370,810.56835,True,32,24,1,0,1,Quinone,Ubiquinone,Medium,Ubiquinone headgroup fragment,"fragment:197.0813(Ubiquinone_headgroup,17%)",5.0
A15_130428,Streptophyta,indval_consensus,OE23-POS,130428,625.519732,True,68,52,1,0,1,Quinone,Ubiquinone,Medium,Ubiquinone headgroup fragment,"fragment:197.0808(Ubiquinone_headgroup,18%)",5.0
A15_130456,Arthropoda,composite,OE23-POS,130456,575.40924,True,66,44,14,0,14,Terpenoid,Terpenoid,Medium,14 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,25%); fragment:81.0704(Monoterpene_frag,100%); fragment:93.0704(Toluenium,10%); fragment:95.0861(Methylcyclohexenyl,70%); fragment:107.0860(Dimethylcyclohexenyl,16%); fragment:109.1015(Sesquiterpene_frag,65%); fragment:121.1015(Sesquiterpene_frag2,39%); fragment:123.1171(Sesquiterpene_frag3,30%); fragment:133.1012(Diterpene_frag,7%); fragment:135.1171(Diterpene_frag2,16%); fragment:147.1168(C11H15+,12%); fragment:149.1327(Sesterterpene_frag,36%); fragment:161.1323(C12H17+,6%); fragment:175.1485(C13H19+,8%)",5.0
A15_130565,Streptophyta,indval_consensus,OE23-POS,130565,432.35475,True,83,22,4,0,4,Terpenoid,Terpenoid,Low,4 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,9%); fragment:81.0705(Monoterpene_frag,12%); fragment:95.0860(Methylcyclohexenyl,10%); fragment:109.1013(Sesquiterpene_frag,7%)",5.0
A15_130613,Streptophyta,indval_consensus,OE23-POS,130613,1533.071178,True,9,8,0,0,0,Unknown,Unknown,None,,,5.0
A15_13072,Arthropoda,composite,OE23-POS,13072,363.336849,True,98,31,14,0,14,Terpenoid,Terpenoid,Medium,14 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,15%); fragment:81.0705(Monoterpene_frag,19%); fragment:93.0704(Toluenium,16%); fragment:95.0859(Methylcyclohexenyl,15%); fragment:105.0703(Xylene_cation,11%); fragment:107.0858(Dimethylcyclohexenyl,10%); fragment:109.1015(Sesquiterpene_frag,9%); fragment:119.0858(C9H11+,10%); fragment:121.1017(Sesquiterpene_frag2,12%); fragment:133.1013(Diterpene_frag,11%); fragment:135.1169(Diterpene_frag2,5%); fragment:147.1170(C11H15+,7%); fragment:175.1483(C13H19+,5%); fragment:203.1795(Triterpene_C15,10%)",5.0
A15_130720,Streptophyta,indval_consensus,OE23-POS,130720,757.580139,True,87,7,0,0,0,Unknown,Unknown,None,,,5.0
A15_130817,Streptophyta,indval_consensus,OE23-POS,130817,917.542802,True,18,13,0,0,0,Unknown,Unknown,None,,,5.0
A15_131020,Streptophyta,indval_consensus,OE23-POS,131020,1084.761093,True,14,14,0,0,0,Unknown,Unknown,None,,,5.0
A15_131093,Streptophyta,indval_consensus,OE23-POS,131093,309.241797,True,78,35,13,0,13,Terpenoid,Terpenoid,Medium,13 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,80%); fragment:81.0704(Monoterpene_frag,100%); fragment:93.0704(Toluenium,28%); fragment:95.0860(Methylcyclohexenyl,68%); fragment:105.0703(Xylene_cation,11%); fragment:107.0859(Dimethylcyclohexenyl,15%); fragment:109.1014(Sesquiterpene_frag,28%); fragment:119.0858(C9H11+,14%); fragment:121.1014(Sesquiterpene_frag2,19%); fragment:123.1171(Sesquiterpene_frag3,15%); fragment:133.1011(Diterpene_frag,9%); fragment:135.1171(Diterpene_frag2,13%); fragment:147.1172(C11H15+,8%)",5.0
A15_131229,Mollusca,composite,OE23-POS,131229,611.488936,True,47,30,6,0,6,Terpenoid,Terpenoid,Medium,6 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0705(Isoprene_unit,7%); fragment:81.0706(Monoterpene_frag,15%); fragment:95.0860(Methylcyclohexenyl,13%); fragment:109.1016(Sesquiterpene_frag,11%); fragment:123.1166(Sesquiterpene_frag3,6%); fragment:133.0855(Diterpene_frag,9%)",5.0
A15_131283,Chlorophyta,composite,OE23-POS,131283,958.628961,True,37,16,0,0,0,Unknown,Unknown,None,,,5.0
A15_131369,Streptophyta,indval_consensus,OE23-POS,131369,780.575178,True,29,8,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0731(Phosphocholine_C5H13NO4P,100%)",5.0
A15_131405,Nematoda,composite,OE23-POS,131405,269.283514,True,46,9,0,0,0,Unknown,Unknown,None,,,5.0
A15_131406,Nematoda,composite,OE23-POS,131406,311.330453,True,52,16,3,0,3,Terpenoid,Terpenoid,Low,3 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,100%); fragment:81.0705(Monoterpene_frag,6%); fragment:95.0859(Methylcyclohexenyl,5%)",5.0
A15_131417,Streptophyta,indval_consensus,OE23-POS,131417,758.583879,True,12,4,0,0,0,Unknown,Unknown,None,,,5.0
A15_131437,Chlorophyta,composite,OE23-POS,131437,922.622847,True,35,7,0,0,0,Unknown,Unknown,None,,,5.0
A15_131623,Streptophyta,indval_consensus,OE23-POS,131623,933.575611,True,83,18,0,0,0,Unknown,Unknown,None,,,5.0
A15_131808,Streptophyta,indval_consensus,OE23-POS,131808,759.586694,True,43,7,0,0,0,Unknown,Unknown,None,,,5.0
A15_131877,Streptophyta,indval_consensus,OE23-POS,131877,636.519766,True,312,129,15,0,15,Terpenoid,Terpenoid,Medium,15 terpenoid fragments → terpenoid/isoprenoid,"fragment:81.0707(Monoterpene_frag,7%); fragment:93.0704(Toluenium,37%); fragment:95.0860(Methylcyclohexenyl,47%); fragment:105.0702(Xylene_cation,20%); fragment:107.0859(Dimethylcyclohexenyl,35%); fragment:109.1015(Sesquiterpene_frag,30%); fragment:119.0857(C9H11+,22%); fragment:121.1013(Sesquiterpene_frag2,21%); fragment:123.1172(Sesquiterpene_frag3,13%); fragment:133.1013(Diterpene_frag,23%); fragment:135.1171(Diterpene_frag2,15%); fragment:147.1166(C11H15+,15%); fragment:149.1328(Sesterterpene_frag,10%); fragment:161.1326(C12H17+,8%); fragment:175.1486(C13H19+,7%)",5.0
A15_131920,Streptophyta,indval_consensus,OE23-POS,131920,545.455892,True,139,48,14,0,14,Terpenoid,Terpenoid,Medium,14 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,24%); fragment:81.0704(Monoterpene_frag,60%); fragment:93.0704(Toluenium,11%); fragment:95.0859(Methylcyclohexenyl,45%); fragment:107.0860(Dimethylcyclohexenyl,9%); fragment:109.1016(Sesquiterpene_frag,28%); fragment:119.0858(C9H11+,6%); fragment:121.1015(Sesquiterpene_frag2,26%); fragment:123.1173(Sesquiterpene_frag3,23%); fragment:133.1012(Diterpene_frag,7%); fragment:135.1170(Diterpene_frag2,24%); fragment:147.1171(C11H15+,7%); fragment:149.1328(Sesterterpene_frag,11%); fragment:161.1328(C12H17+,6%)",5.0
A15_131980,Streptophyta,indval_consensus,OE23-POS,131980,784.556175,True,109,19,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 20% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,20%)",5.0
A15_132016,Nematoda,composite,OE23-POS,132016,1092.728001,True,27,4,0,0,0,Unknown,Unknown,None,,,5.0
A15_132240,Nematoda,composite,OE23-POS,132240,1118.744387,True,36,5,0,0,0,Unknown,Unknown,None,,,5.0
A15_1324,Streptophyta,indval_consensus,OE23-POS,1324,710.393365,True,213,10,0,0,0,Unknown,Unknown,None,,,5.0
A15_132410,Chlorophyta,composite,OE23-POS,132410,870.58995,True,21,3,0,0,0,Unknown,Unknown,None,,,5.0
A15_132497,Streptophyta,indval_consensus,OE23-POS,132497,785.492168,True,46,18,0,0,0,Unknown,Unknown,None,,,5.0
A15_132537,Streptophyta,indval_consensus,OE23-POS,132537,606.479543,True,70,48,10,0,10,Terpenoid,Terpenoid,Medium,10 terpenoid fragments → terpenoid/isoprenoid,"fragment:93.0705(Toluenium,5%); fragment:95.0863(Methylcyclohexenyl,10%); fragment:107.0864(Dimethylcyclohexenyl,8%); fragment:109.1020(Sesquiterpene_frag,10%); fragment:121.1017(Sesquiterpene_frag2,10%); fragment:123.1166(Sesquiterpene_frag3,16%); fragment:135.1164(Diterpene_frag2,16%); fragment:147.1172(C11H15+,10%); fragment:149.1325(Sesterterpene_frag,25%); fragment:175.1487(C13H19+,11%)",5.0
A15_13256,Arthropoda,composite,OE23-POS,13256,414.308273,True,101,101,15,0,15,Terpenoid,Terpenoid,Medium,15 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,76%); fragment:81.0705(Monoterpene_frag,63%); fragment:93.0704(Toluenium,35%); fragment:95.0861(Methylcyclohexenyl,46%); fragment:105.0705(Xylene_cation,31%); fragment:107.0859(Dimethylcyclohexenyl,49%); fragment:109.1016(Sesquiterpene_frag,100%); fragment:119.0857(C9H11+,45%); fragment:121.1013(Sesquiterpene_frag2,28%); fragment:123.1171(Sesquiterpene_frag3,17%); fragment:133.1016(Diterpene_frag,24%); fragment:135.1171(Diterpene_frag2,21%); fragment:147.1171(C11H15+,15%); fragment:149.1324(Sesterterpene_frag,16%); fragment:189.1638(Hopane_C14,18%)",5.0
A15_132671,Bacillota,indval_consensus,OE23-POS,132671,686.533602,True,43,5,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,100%)",5.0
A15_132761,Streptophyta,indval_consensus,OE23-POS,132761,724.571413,True,28,17,0,0,0,Unknown,Unknown,None,,,5.0
A15_132780,Streptophyta,indval_consensus,OE23-POS,132780,549.487066,True,133,47,12,0,12,Terpenoid,Terpenoid,Medium,12 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,63%); fragment:81.0705(Monoterpene_frag,64%); fragment:93.0704(Toluenium,10%); fragment:95.0860(Methylcyclohexenyl,55%); fragment:107.0861(Dimethylcyclohexenyl,9%); fragment:109.1016(Sesquiterpene_frag,29%); fragment:119.0858(C9H11+,10%); fragment:121.1014(Sesquiterpene_frag2,26%); fragment:123.1170(Sesquiterpene_frag3,27%); fragment:133.1014(Diterpene_frag,7%); fragment:135.1168(Diterpene_frag2,16%); fragment:149.1326(Sesterterpene_frag,6%)",5.0
A15_132918,Streptophyta,indval_consensus,OE23-POS,132918,813.545015,True,65,24,0,0,0,Unknown,Unknown,None,,,5.0
A15_132963,Streptophyta,indval_consensus,OE23-POS,132963,807.593189,True,25,6,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,100%)",5.0
A15_1330,Streptophyta,indval_consensus,OE23-POS,1330,564.335998,True,532,111,17,0,17,Terpenoid,Terpenoid,Medium,17 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,13%); fragment:81.0704(Monoterpene_frag,41%); fragment:93.0703(Toluenium,51%); fragment:95.0859(Methylcyclohexenyl,37%); fragment:105.0702(Xylene_cation,23%); fragment:107.0858(Dimethylcyclohexenyl,36%); fragment:109.1015(Sesquiterpene_frag,33%); fragment:119.0857(C9H11+,35%); fragment:121.1013(Sesquiterpene_frag2,71%); fragment:123.1169(Sesquiterpene_frag3,9%); fragment:133.1012(Diterpene_frag,43%); fragment:135.1168(Diterpene_frag2,29%); fragment:147.1167(C11H15+,33%); fragment:149.1325(Sesterterpene_frag,27%); fragment:161.1324(C12H17+,20%); fragment:175.1479(C13H19+,10%); fragment:189.1638(Hopane_C14,7%)",5.0
A15_133018,Streptophyta,indval_consensus,OE23-POS,133018,706.560509,True,52,6,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 42% → PC or SM,"fragment:184.0732(Phosphocholine_C5H13NO4P,42%)",5.0
A15_133089,Streptophyta,indval_consensus,OE23-POS,133089,706.503067,False,0,0,0,0,0,Unknown,Unknown,None,No MS2 peaks,,5.0
A15_1331,Streptophyta,indval_consensus,OE23-POS,1331,251.163735,False,0,0,0,0,0,Unknown,Unknown,None,No MS2 peaks,,5.0
A15_13310,Streptophyta,indval_consensus,OE23-POS,13310,545.342676,True,80,7,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,100%)",5.0
A15_133151,Chlorophyta,composite,OE23-POS,133151,727.53498,True,17,17,0,0,0,Unknown,Unknown,None,,,5.0
A15_133153,Streptophyta,indval_consensus,OE23-POS,133153,772.549139,True,79,7,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,100%)",5.0
A15_133201,Streptophyta,indval_consensus,OE23-POS,133201,792.596913,True,87,17,0,0,0,Unknown,Unknown,None,,,5.0
A15_133236,Arthropoda,composite,OE23-POS,133236,590.429014,True,68,68,1,0,1,Quinone,Ubiquinone,Medium,Ubiquinone headgroup fragment,"fragment:197.0807(Ubiquinone_headgroup,58%)",5.0
A15_133237,Streptophyta,indval_consensus,OE23-POS,133237,744.578496,True,41,18,0,0,0,Unknown,Unknown,None,,,5.0
A15_133281,Streptophyta,indval_consensus,OE23-POS,133281,793.600754,True,35,29,0,0,0,Unknown,Unknown,None,,,5.0
A15_133319,Chlorophyta,composite,OE23-POS,133319,547.395209,True,48,47,14,0,14,Terpenoid,Terpenoid,Medium,14 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,16%); fragment:81.0706(Monoterpene_frag,27%); fragment:93.0705(Toluenium,9%); fragment:95.0862(Methylcyclohexenyl,30%); fragment:105.0704(Xylene_cation,6%); fragment:107.0859(Dimethylcyclohexenyl,9%); fragment:109.1018(Sesquiterpene_frag,26%); fragment:119.1135(C9H11+,11%); fragment:121.1013(Sesquiterpene_frag2,87%); fragment:123.1172(Sesquiterpene_frag3,23%); fragment:133.1015(Diterpene_frag,24%); fragment:135.1177(Diterpene_frag2,31%); fragment:147.1179(C11H15+,13%); fragment:149.1328(Sesterterpene_frag,12%)",5.0
A15_133417,Streptophyta,indval_consensus,OE23-POS,133417,933.575579,True,63,21,0,0,0,Unknown,Unknown,None,,,5.0
A15_133418,Streptophyta,indval_consensus,OE23-POS,133418,905.539745,True,47,8,0,0,0,Unknown,Unknown,None,,,5.0
A15_133471,Streptophyta,indval_consensus,OE23-POS,133471,1084.761545,True,33,33,0,0,0,Unknown,Unknown,None,,,5.0
A15_133508,Streptophyta,indval_consensus,OE23-POS,133508,693.545892,False,0,0,0,0,0,Unknown,Unknown,None,No MS2 peaks,,5.0
A15_133514,Streptophyta,indval_consensus,OE23-POS,133514,694.561205,True,22,22,1,0,1,Phospholipid,PC/SM,Medium,Phosphocholine at 12% → PC or SM,"fragment:184.0736(Phosphocholine_C5H13NO4P,12%)",5.0
A15_13359,Streptophyta,indval_consensus,OE23-POS,13359,652.382215,False,0,0,0,0,0,Unknown,Unknown,None,No MS2 peaks,,5.0
A15_13361,Streptophyta,indval_consensus,OE23-POS,13361,712.498244,True,309,27,0,1,1,Phospholipid,PS,Medium,Serine neutral loss,"loss:87.0320(Serine,6%)",5.0
A15_133613,Streptophyta,indval_consensus,OE23-POS,133613,937.567679,True,82,4,0,0,0,Unknown,Unknown,None,,,5.0
A15_1337,Streptophyta,indval_consensus,OE23-POS,1337,349.236819,True,113,113,15,0,15,Terpenoid,Terpenoid,Medium,15 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,64%); fragment:81.0704(Monoterpene_frag,61%); fragment:93.0704(Toluenium,43%); fragment:95.0860(Methylcyclohexenyl,58%); fragment:105.0702(Xylene_cation,32%); fragment:107.0859(Dimethylcyclohexenyl,31%); fragment:109.1015(Sesquiterpene_frag,28%); fragment:119.0858(C9H11+,33%); fragment:121.1014(Sesquiterpene_frag2,34%); fragment:133.1014(Diterpene_frag,26%); fragment:135.1172(Diterpene_frag2,16%); fragment:147.1170(C11H15+,23%); fragment:149.1325(Sesterterpene_frag,14%); fragment:161.1329(C12H17+,11%); fragment:175.1484(C13H19+,10%)",5.0
A15_133748,Streptophyta,indval_consensus,OE23-POS,133748,903.562281,True,22,7,0,0,0,Unknown,Unknown,None,,,5.0
A15_133896,Streptophyta,indval_consensus,OE23-POS,133896,623.503473,True,158,62,16,0,16,Terpenoid,Terpenoid,Medium,16 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,23%); fragment:81.0704(Monoterpene_frag,44%); fragment:93.0704(Toluenium,20%); fragment:95.0860(Methylcyclohexenyl,53%); fragment:105.0703(Xylene_cation,5%); fragment:107.0859(Dimethylcyclohexenyl,24%); fragment:109.1015(Sesquiterpene_frag,21%); fragment:119.0857(C9H11+,17%); fragment:121.1013(Sesquiterpene_frag2,20%); fragment:123.1169(Sesquiterpene_frag3,14%); fragment:133.1013(Diterpene_frag,18%); fragment:135.1170(Diterpene_frag2,16%); fragment:147.1172(C11H15+,12%); fragment:149.1331(Sesterterpene_frag,16%); fragment:161.1323(C12H17+,13%); fragment:203.1794(Triterpene_C15,5%)",5.0
A15_133944,Heterolobosea,composite,OE23-POS,133944,778.589009,True,31,6,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,100%)",5.0
A15_13406,Streptophyta,indval_consensus,OE23-POS,13406,519.347581,True,123,7,2,0,2,Phospholipid,PC/SM,High,Phosphocholine at 51% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,51%); fragment:236.1491(DGTS_headgroup,49%)",5.0
A15_134075,Streptophyta,indval_consensus,OE23-POS,134075,609.487532,False,0,0,0,0,0,Unknown,Unknown,None,No MS2 peaks,,5.0
A15_13422,Streptophyta,indval_consensus,OE23-POS,13422,655.458446,False,0,0,0,0,0,Unknown,Unknown,None,No MS2 peaks,,5.0
A15_13423,Streptophyta,indval_consensus,OE23-POS,13423,659.413474,True,71,5,0,0,0,Unknown,Unknown,None,,,5.0
A15_134258,Streptophyta,indval_consensus,OE23-POS,134258,547.471724,True,88,29,9,0,9,Terpenoid,Terpenoid,Medium,9 terpenoid fragments → terpenoid/isoprenoid,"fragment:81.0705(Monoterpene_frag,38%); fragment:93.0704(Toluenium,5%); fragment:95.0860(Methylcyclohexenyl,35%); fragment:107.0861(Dimethylcyclohexenyl,5%); fragment:109.1015(Sesquiterpene_frag,24%); fragment:121.1014(Sesquiterpene_frag2,15%); fragment:123.1169(Sesquiterpene_frag3,16%); fragment:135.1169(Diterpene_frag2,16%); fragment:149.1329(Sesterterpene_frag,7%)",5.0
A15_134275,Streptophyta,indval_consensus,OE23-POS,134275,590.483564,True,57,41,1,0,1,Quinone,Ubiquinone,Medium,Ubiquinone headgroup fragment,"fragment:197.0810(Ubiquinone_headgroup,34%)",5.0
A15_134281,Streptophyta,indval_consensus,OE23-POS,134281,807.59472,True,22,9,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,100%)",5.0
A15_1343,Streptophyta,indval_consensus,OE23-POS,1343,553.298284,True,32,9,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 84% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,84%)",5.0
A15_134451,Streptophyta,indval_consensus,OE23-POS,134451,706.560585,True,103,8,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 25% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,25%)",5.0
A15_134475,Streptophyta,indval_consensus,OE23-POS,134475,309.241795,True,98,35,13,0,13,Terpenoid,Terpenoid,Medium,13 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,91%); fragment:81.0704(Monoterpene_frag,100%); fragment:93.0705(Toluenium,20%); fragment:95.0860(Methylcyclohexenyl,61%); fragment:105.0703(Xylene_cation,9%); fragment:107.0860(Dimethylcyclohexenyl,13%); fragment:109.1016(Sesquiterpene_frag,27%); fragment:119.0857(C9H11+,11%); fragment:121.1015(Sesquiterpene_frag2,12%); fragment:123.1167(Sesquiterpene_frag3,19%); fragment:133.1013(Diterpene_frag,9%); fragment:135.1170(Diterpene_frag2,13%); fragment:161.1327(C12H17+,7%)",5.0
