feature_id,phylum,discovery_method,reference_batch,reference_scan,precursor_mz,has_usable_ms2,n_peaks_total,n_peaks_above_threshold,n_diagnostic_fragments,n_neutral_losses,n_diagnostic_total,assigned_class,assigned_subclass,classification_confidence,classification_reasoning,diagnostic_ions_detail,intensity_threshold_pct
A15_18961,Streptophyta,indval_consensus,OE23-POS,18961,261.220865,True,129,52,18,0,18,Terpenoid,Terpenoid,Medium,18 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0705(Isoprene_unit,37%); fragment:81.0704(Monoterpene_frag,100%); fragment:93.0703(Toluenium,38%); fragment:95.0859(Methylcyclohexenyl,95%); fragment:105.0702(Xylene_cation,24%); fragment:107.0858(Dimethylcyclohexenyl,48%); fragment:109.1014(Sesquiterpene_frag,37%); fragment:119.0856(C9H11+,28%); fragment:121.1013(Sesquiterpene_frag2,34%); fragment:123.1169(Sesquiterpene_frag3,25%); fragment:133.1011(Diterpene_frag,23%); fragment:135.1168(Diterpene_frag2,28%); fragment:147.1168(C11H15+,18%); fragment:149.1324(Sesterterpene_frag,13%); fragment:161.1320(C12H17+,15%); fragment:175.1481(C13H19+,7%); fragment:189.1642(Hopane_C14,5%); fragment:203.1790(Triterpene_C15,12%)",5.0
A15_189698,Streptophyta,indval_consensus,OE23-POS,189698,571.47213,True,63,38,12,0,12,Terpenoid,Terpenoid,Medium,12 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,35%); fragment:81.0704(Monoterpene_frag,28%); fragment:93.0703(Toluenium,15%); fragment:95.0860(Methylcyclohexenyl,26%); fragment:107.0860(Dimethylcyclohexenyl,9%); fragment:109.1014(Sesquiterpene_frag,16%); fragment:119.0857(C9H11+,9%); fragment:121.1014(Sesquiterpene_frag2,22%); fragment:123.1175(Sesquiterpene_frag3,8%); fragment:133.1014(Diterpene_frag,8%); fragment:135.1170(Diterpene_frag2,9%); fragment:149.1326(Sesterterpene_frag,6%)",5.0
A15_189724,Streptophyta,indval_consensus,OE23-POS,189724,747.607184,True,61,12,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,100%)",5.0
A15_189750,Streptophyta,indval_consensus,OE23-POS,189750,931.557389,True,122,22,0,0,0,Unknown,Unknown,None,,,5.0
A15_189957,Streptophyta,indval_consensus,OE23-POS,189957,1024.741661,True,136,24,0,0,0,Unknown,Unknown,None,,,5.0
A15_190027,Streptophyta,indval_consensus,OE23-POS,190027,749.616833,True,55,4,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,100%)",5.0
A15_190046,Ascomycota,indval_consensus,OE23-POS,190046,922.76768,True,46,46,0,0,0,Unknown,Unknown,None,,,5.0
A15_190081,Streptophyta,indval_consensus,OE23-POS,190081,1029.701795,True,41,4,0,0,0,Unknown,Unknown,None,,,5.0
A15_19032,Streptophyta,indval_consensus,OE23-POS,19032,702.438545,True,58,13,0,0,0,Unknown,Unknown,None,,,5.0
A15_190451,Streptophyta,indval_consensus,OE23-POS,190451,903.56233,True,90,5,0,0,0,Unknown,Unknown,None,,,5.0
