feature_id,query_mz,archlips_name,archlips_mz,archlips_formula,archlips_adduct,archlips_smiles,archlips_confidence,mass_error_ppm,cosine,matched_peaks,query_n_peaks,ref_n_peaks,archlips_tier,phylum,kingdom
A15_OE21-4-POS_179452,834.65627,PG-Archaeol(20:0(OH)_20:3),834.65824,C46H89O9P,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)CCOC[C@H](COP(O)(=O)OCC(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCCC(C)C,3,-2.3602474709031194,0.582271759825449,2,60,12,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_183412,817.64567,PA-Archaeol(20:3(Me)_25:4(Me)),817.64695,C50H89O6P,[M+H]+,CC(C)CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\C(C)C\C(C)=C\CO[C@H](COC\C=C(/C)CC(C)\C=C(/C)CC\C=C(/C)CCCC(C)C)COP(O)(O)=O,3,-1.5654678341936483,0.9345141183684637,5,22,53,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_183705,816.64594,PS-Archaeol(20:1_20:1),816.64768,C46H90NO8P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](COP(O)(=O)OCC(N)C(O)=O)OC\C=C(/C)CCCC(C)CCCC(C)CCCC(C)C,1,-2.1306617806600623,0.4899576863559862,25,136,48,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_183893,819.66319,2Me-PA-Archaeol(20:3_25:3),819.6626,C50H91O6P,[M+H]+,COP(=O)(OC)OC[C@@H](COC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCCC(C)C)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCCC(C)CCCC(C)C,5,0.7198083699174784,0.9488295589478257,10,44,68,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_183935,847.71979,Gly-Archaeol(20:0(OH)_20:0(OH)),847.72328,C49H98O10,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)CCOC[C@H](COC1OC(CO)C(O)C(O)C1O)OCCC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,3,-4.116909470807703,0.7950387080961452,2,66,11,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_183938,641.58775,Archaeol(20:3_20:3),641.58672,C43H76O3,[M+H]+,CC(C)CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COC[C@H](CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCCC(C)C,1,1.6053948249026995,0.6523450762189014,21,60,39,Silver,Methanobacteriota,Archaea
A15_OE21-4-POS_186063,820.66554,PA-Archaeol(20:3_25:4(Me)),820.65785,C49H87O6P,[M+NH4]+,CC(C)CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COC[C@H](COP(O)(O)=O)OC\C=C(/C)CC(C)\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCCC(C)C,3,9.37053121457545,0.7222464238864619,14,78,53,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_186065,822.67379,Calditol-Archaeol(20:1_20:4),822.68174,C49H88O8,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](COC1C(O)C(O)C(O)C1(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,-9.663518239674389,0.9493843153747015,7,23,50,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_186509,1036.67329,CDP-Archaeol(20:0_20:1),1036.67259,C52H99N3O13P2,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC[C@H](COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC\C=C(/C)CCCC(C)CCCC(C)CCCC(C)C,4,0.6752372994174172,0.9548869746034797,2,40,47,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_186882,1050.69061,CDP-Archaeol(20:0(Me)_20:1),1050.68824,C53H101N3O13P2,[M+H]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CO[C@H](COCCC(C)CC(C)CC(C)CCCC(C)CCCC(C)C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O,4,2.2556643445018616,0.8638249790405822,2,14,47,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_187380,822.67419,Calditol-Archaeol(20:1_20:4),822.68174,C49H88O8,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](COC1C(O)C(O)C(O)C1(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,-9.177303485595136,0.9501498932596961,6,34,50,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_187658,820.66503,Calditol-Archaeol(20:2_20:4),820.66609,C49H86O8,[M+NH4]+,CC(C)CCCC(C)CCC\C(C)=C\CC\C(C)=C\COC[C@H](COC1C(O)C(O)C(O)C1(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,-1.2916337265162756,0.697953112973821,21,102,50,Silver,Methanobacteriota,Archaea
A15_OE21-4-POS_189702,858.6552,APT-Archaeol(20:0_20:4),858.65825,C48H92NO9P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC[C@H](COP([O-])(=O)OC(C[NH3+])C(O)C(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,4,-3.5520534507372505,0.9999917348369912,2,60,50,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_189822,880.63885,APT-Archaeol(20:3(Me)_20:4(Me)),880.6426,C50H90NO9P,[M+H]+,CC(C)CCC\C(C)=C\CC\C(C)=C\C(C)C\C(C)=C\COC[C@H](COP([O-])(=O)OC(C[NH3+])C(O)C(O)CO)OC\C=C(/C)CC(C)\C=C(/C)CC\C=C(/C)CCC=C(C)C,4,-4.258254143018027,0.9999964630953914,2,90,45,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_191651,1008.79161,2Gly-Archaeol(20:0(OH)_20:1),1008.79208,C55H106O14,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CO[C@H](COCCC(C)(O)CCCC(C)CCCC(C)CCCC(C)C)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,3,-0.4659037371347317,0.772517120506712,4,65,10,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_192043,932.69747,Sulfo-PG-Archaeol(20:0(Me)_20:0(Me)),932.69839,C48H99O11PS,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CC(C)CC(C)CCOC[C@H](COP(O)(=O)OCC(O)COS(O)(=O)=O)OCCC(C)CC(C)CC(C)CCCC(C)CCCC(C)C,3,-0.9863853201940735,0.9793609046096838,2,50,35,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_192213,954.67655,NAcGly-P-Archaeol(20:1(Me)_20:4(Me)),954.67938,C53H96NO11P,[M+H]+,CC(C)CCCC(C)CCCC(C)CC(C)C\C(C)=C\COC[C@H](COP(O)(=O)OC1OC(CO)C(O)C(O)C1NC(C)=O)OC\C=C(/C)CC(C)\C=C(/C)CC\C=C(/C)CCC=C(C)C,4,-2.964345998566773,0.7291325872354525,2,31,60,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_192255,955.74011,MTK(11:10),955.73603,C66H98O2S,[M+H]+,CSC1=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCCC(C)C)C(=O)c2ccccc2C1=O,4,4.268961169048745,0.9915479432541862,2,83,5,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_193245,818.65975,PS-Archaeol(20:0_20:1),818.66333,C46H92NO8P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC[C@H](COP(O)(=O)OCC(N)C(O)=O)OC\C=C(/C)CCCC(C)CCCC(C)CCCC(C)C,1,-4.3729819924176025,0.8934306785330588,5,38,49,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_194405,683.59816,AC-Archaeol(20:2_20:4),683.59729,C45H78O4,[M+H]+,CC(C)CCCC(C)CCC\C(C)=C\CC\C(C)=C\COC[C@H](COC(C)=O)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,1.2726791236453132,0.7234670801082516,30,54,48,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_194822,661.61584,Archaeol(20:0(OH)_20:4),661.61294,C43H80O4,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)CCOC[C@H](CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,4.383227450279084,0.9246038418935894,2,32,8,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_195072,1011.80761,Gly-Rib-Archaeol(20:0_25:3),1011.807,C59H110O12,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC[C@H](COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCCC(C)CCCC(C)C,5,0.6028817748224977,0.8907918009717118,18,107,67,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_195294,1010.80492,2Gly-Archaeol(20:0(OH)_20:0),1010.80773,C55H108O14,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCO[C@H](COCCC(C)(O)CCCC(C)CCCC(C)CCCC(C)C)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1,-2.7799549969349915,0.9983128589364573,6,47,11,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_195922,647.63288,Archaeol(20:1_20:2),647.63367,C43H82O3,[M+H]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](CO)OC\C=C(/C)CC\C=C(/C)CCCC(C)CCCC(C)C,1,-1.2198253992134238,0.7695173601803132,30,80,48,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_195923,880.63975,APT-Archaeol(20:3(Me)_20:4(Me)),880.6426,C50H90NO9P,[M+H]+,CC(C)CCC\C(C)=C\CC\C(C)=C\C(C)C\C(C)=C\COC[C@H](COP([O-])(=O)OC(C[NH3+])C(O)C(O)CO)OC\C=C(/C)CC(C)\C=C(/C)CC\C=C(/C)CCC=C(C)C,4,-3.2362731486833733,0.9996381630561441,2,40,45,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_195951,991.76908,GluA-Gly-Archaeol(20:0_20:0),991.76553,C55H106O14,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC[C@H](COC1OC(COC2OC(C(O)C(O)C2O)C(O)=O)C(O)C(O)C1O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C,2,3.579475080181877,0.4052788206295127,17,43,31,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_195952,1009.79281,Gly-Rib-Archaeol(20:2_25:2),1009.79135,C59H108O12,[M+H]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CC\C(C)=C\CO[C@H](COC\C=C(/C)CC\C=C(/C)CCCC(C)CCCC(C)C)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O,5,1.445843242829838,0.9344303766868326,21,64,66,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_196076,728.69358,Archaeol(20:1_25:5),728.69152,C48H86O3,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,2.8269850046129186,0.8428536370617452,16,49,57,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_196273,858.65748,APT-Archaeol(20:0_20:4),858.65825,C48H92NO9P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC[C@H](COP([O-])(=O)OC(C[NH3+])C(O)C(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,4,-0.8967479203613464,0.42286712702385626,4,61,50,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_196324,545.50834,phytoene,545.50808,C40H64,[M+H]+,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/C=C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,4,0.47661988806047406,0.6422006366424925,17,57,53,Silver,Methanobacteriota,Archaea
A15_OE21-4-POS_197310,749.64365,PA-Archaeol(20:0(OH)_20:0),749.64187,C43H89O7P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCO[C@H](COCCC(C)(O)CCCC(C)CCCC(C)CCCC(C)C)COP(O)(O)=O,2,2.3744671571502787,0.7974781817848029,3,121,9,Silver,Methanobacteriota,Archaea
A15_OE21-4-POS_198599,666.67548,Archaeol(20:1_20:1),666.67587,C43H84O3,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](CO)OC\C=C(/C)CCCC(C)CCCC(C)CCCC(C)C,3,-0.584991924244275,0.6424971627155608,31,80,40,Silver,Methanobacteriota,Archaea
