mode,phylum_1,phylum_2,group_1,group_2,rank_1,rank_2,n_detected_1,n_detected_2,n_shared,frac_of_smaller,jaccard
POS,Evosea,Streptophyta,Protists,Viridiplantae,7,13,9541,40012,7865,0.8243,0.1887
POS,Evosea,Arthropoda,Protists,Animalia,7,14,9541,41348,9096,0.9534,0.2176
POS,Evosea,Mollusca,Protists,Animalia,7,15,9541,20031,5772,0.605,0.2425
POS,Evosea,Nematoda,Protists,Animalia,7,16,9541,20087,6965,0.73,0.3073
POS,Heterolobosea,Mucoromycota,Protists,Fungi,8,9,10343,12875,2941,0.2843,0.145
POS,Heterolobosea,Ascomycota,Protists,Fungi,8,10,10343,36490,8135,0.7865,0.2102
POS,Heterolobosea,Basidiomycota,Protists,Fungi,8,11,10343,33937,7746,0.7489,0.212
POS,Heterolobosea,Chlorophyta,Protists,Viridiplantae,8,12,10343,33747,7745,0.7488,0.2131
POS,Heterolobosea,Streptophyta,Protists,Viridiplantae,8,13,10343,40012,8491,0.8209,0.2028
POS,Heterolobosea,Arthropoda,Protists,Animalia,8,14,10343,41348,9801,0.9476,0.234
POS,Heterolobosea,Mollusca,Protists,Animalia,8,15,10343,20031,6069,0.5868,0.2497
POS,Heterolobosea,Nematoda,Protists,Animalia,8,16,10343,20087,7198,0.6959,0.3098
POS,Mucoromycota,Ascomycota,Fungi,Fungi,9,10,12875,36490,11778,0.9148,0.3134
POS,Mucoromycota,Basidiomycota,Fungi,Fungi,9,11,12875,33937,11141,0.8653,0.3123
POS,Mucoromycota,Chlorophyta,Fungi,Viridiplantae,9,12,12875,33747,9491,0.7372,0.2556
POS,Mucoromycota,Streptophyta,Fungi,Viridiplantae,9,13,12875,40012,11743,0.9121,0.2854
POS,Mucoromycota,Arthropoda,Fungi,Animalia,9,14,12875,41348,12056,0.9364,0.2859
POS,Mucoromycota,Mollusca,Fungi,Animalia,9,15,12875,20031,5726,0.4447,0.2107
POS,Mucoromycota,Nematoda,Fungi,Animalia,9,16,12875,20087,5071,0.3939,0.1818
