feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_149360,723.514798,14.2869,3,Bacillota,Bacteria,16,22,0.64,0.4211,0.8417,7.25,11643242.8,75522.2,2,0.6667,61.55,25,3,Silver,Silver
A15_106352,539.407103,10.0852,3,Bacillota,Bacteria,17,9,0.68,0.6538,0.9353,2.789,325977.1,46304.8,2,0.6667,61.55,25,3,Silver,Silver
A15_125739,447.345903,12.128,4,Bacillota,Bacteria,23,47,0.92,0.3286,0.6619,3.455,4820766.3,438598.7,3,1.0,61.39,25,3,Silver,Silver
A15_180352,563.46531,16.7415,5,Bacillota,Bacteria,23,36,0.92,0.3898,0.741,2.118,24185427.8,5572146.8,3,1.0,61.34,25,3,Silver,Silver
A15_134622,523.47169,12.9231,5,Bacillota,Bacteria,19,37,0.76,0.3393,0.7338,4.888,53021381.6,1789923.3,3,1.0,61.29,25,3,Silver,Silver
A15_164898,701.40849,15.5409,5,Bacillota,Bacteria,25,55,1.0,0.3125,0.6043,2.933,1548204.2,201917.1,3,1.0,61.28,25,3,Silver,Silver
A15_84690,413.266026,8.3018,4,Bacillota,Bacteria,24,50,0.96,0.3243,0.6403,3.07,2410651.2,286268.2,3,1.0,61.27,25,3,Silver,Silver
A15_116196,667.454206,11.3091,4,Bacillota,Bacteria,10,8,0.4,0.5556,0.9424,5.092,1426412.9,40858.8,3,1.0,61.27,25,3,Silver,Silver
A15_192838,821.675471,18.1102,3,Bacillota,Bacteria,19,13,0.76,0.5938,0.9065,2.679,399229.5,61504.2,2,0.6667,61.23,25,3,Silver,Silver
A15_143323,662.47468,13.6887,4,Bacillota,Bacteria,24,47,0.96,0.338,0.6619,2.709,22421449.8,3427889.2,3,1.0,61.18,25,3,Silver,Silver
A15_222404,1326.9428,21.6659,3,Bacillota,Bacteria,13,6,0.52,0.6842,0.9568,3.957,9444807.5,607381.5,2,0.6667,61.01,25,3,Silver,Silver
A15_133116,677.475095,12.7531,3,Bacillota,Bacteria,14,11,0.56,0.56,0.9209,5.471,2621747.1,58144.8,2,0.6667,60.95,25,3,Silver,Silver
