feature_id,phylum,n_batches_indicator,mean_indval,min_indval,mean_A,mean_B,batches,kingdom
A15_150175,Pseudomonadota,2,0.7817880067155616,0.6016785505085592,0.6436319036594731,1.0,"batch_05_OE25-1-ALL,batch_06_ALL-25-2",Bacteria
A15_2552,Streptophyta,2,0.7817348239625196,0.6696035149232223,0.8478671990613449,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_161055,Pseudomonadota,2,0.7817084299453056,0.7054526670802291,0.8657147435629938,0.75,"batch_05_OE25-1-ALL,batch_06_ALL-25-2",Bacteria
A15_159485,Pseudomonadota,2,0.7817084299453056,0.7054526670802291,0.8657147435629938,0.75,"batch_05_OE25-1-ALL,batch_06_ALL-25-2",Bacteria
A15_128845,Streptophyta,2,0.7816742210440027,0.7053715331592311,0.9269548859401393,0.6785714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_106439,Streptophyta,2,0.7816704340777034,0.6468908034806611,0.9083981322358903,0.6785714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_182770,Streptophyta,2,0.7816612694736327,0.6700647379636926,0.9476801899486069,0.65,"batch_01_OE11-3-POS,batch_03_OE23-POS",Viridiplantae
A15_29928,Streptophyta,2,0.78151067980055,0.7686237566316927,0.6109250154310779,1.0,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_98282,Basidiomycota,2,0.7814034868075408,0.5668097233265496,0.7369602081342982,0.8333333333333333,"batch_01_OE11-3-POS,batch_02_OE21-4-POS",Fungi
A15_217421,Methanobacteriota,2,0.7813888228950954,0.772208230748096,0.9969212930292539,0.6125,"batch_02_OE21-4-POS,batch_04_OE26-1POS",Archaea
A15_44706,Streptophyta,2,0.7813869172650816,0.7444281444497991,0.8197464387044033,0.7857142857142857,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_113819,Streptophyta,2,0.7812962755175163,0.6750619048444374,0.6873521656438061,0.9285714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_47623,Streptophyta,2,0.7812877705128127,0.6736804618232254,0.9476794032862551,0.65,"batch_01_OE11-3-POS,batch_03_OE23-POS",Viridiplantae
A15_76811,Streptophyta,2,0.7811353224037443,0.764742427224178,0.8069137221487167,0.7571428571428571,"batch_01_OE11-3-POS,batch_02_OE21-4-POS",Viridiplantae
A15_190507,Heterolobosea,2,0.7811003104138328,0.7400884047967294,0.7030881458166933,0.875,"batch_04_OE26-1POS,batch_05_OE25-1-ALL",Protists
A15_114260,Streptophyta,2,0.7810751654503496,0.7181041164402407,0.6734116014421436,0.9285714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_152542,Streptophyta,2,0.7810585925533606,0.6243344574807964,0.8295117369146001,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_130746,Bacillota,2,0.7809324421320003,0.6332437634591168,0.6817921329773755,0.9,"batch_02_OE21-4-POS,batch_06_ALL-25-2",Bacteria
A15_155311,Streptophyta,2,0.7808996575724663,0.7156461985923854,0.6567414125689712,0.9285714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_67728,Streptophyta,2,0.7808717866629497,0.6523193541049139,0.8390467449927015,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_201099,Streptophyta,2,0.7808524098063934,0.5733486699218767,0.6527882879665128,1.0,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_163216,Bacillota,2,0.7808257640599392,0.7654155573958166,0.6099263482892188,1.0,"batch_05_OE25-1-ALL,batch_06_ALL-25-2",Bacteria
A15_161096,Bacillota,2,0.7808257640599392,0.7654155573958166,0.6099263482892188,1.0,"batch_05_OE25-1-ALL,batch_06_ALL-25-2",Bacteria
A15_89783,Streptophyta,2,0.7808024406888674,0.5718721105321987,0.6533043342450667,1.0,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_156813,Streptophyta,2,0.7806638925264124,0.5968543865204828,0.8213396269470048,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_211961,Streptophyta,2,0.7806489267529679,0.6896795474631401,0.8555171139034181,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
