feature_id,batch,component,propagated_label,family_size,annotated_members,agreement,round,phylum,kingdom
A15_61370,ALL-25-2-POS,2099,Glycerophospholipids,2,1,1.0,1,Pseudomonadota,Bacteria
A15_70931,OE23-POS,563,Glycerophospholipids,5,2,1.0,1,Arthropoda,Animalia
A15_71104,OE23-POS,563,Glycerophospholipids,5,2,1.0,1,Arthropoda,Animalia
A15_104957,OE23-POS,563,Glycerophospholipids,5,2,1.0,1,Mollusca,Animalia
A15_133237,ALL-25-2-POS,168,Prenol lipids,3,2,0.5,1,Streptophyta,Viridiplantae
A15_154309,ALL-25-2-POS,3254,Glycerolipids,2,1,1.0,1,Chlorophyta,Viridiplantae
A15_85867,ALL-25-2-POS,80,Prenol lipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_47604,OE23-POS,4245,Glycerophospholipids,2,1,1.0,1,Mollusca,Animalia
A15_121097,ALL-25-2-POS,687,Glycerophospholipids,5,4,0.5,1,Streptophyta,Viridiplantae
A15_138770,ALL-25-2-POS,372,Glycerolipids,5,3,1.0,1,Bacillota,Bacteria
A15_143918,ALL-25-2-POS,372,Glycerolipids,5,3,1.0,1,Streptophyta,Viridiplantae
A15_146133,ALL-25-2-POS,764,Glycerolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_141842,ALL-25-2-POS,104,Glycerolipids,3,2,1.0,1,Bacillota,Bacteria
A15_5551,OE23-POS,697,Glycerophospholipids|Sphingolipids,3,2,0.5,1,Arthropoda,Animalia
A15_80878,ALL-25-2-POS,1375,Glycerolipids,2,1,1.0,1,Chlorophyta,Viridiplantae
A15_146247,ALL-25-2-POS,436,Glycerolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_129475,ALL-25-2-POS,77,Glycerolipids,3,2,1.0,1,Streptophyta,Viridiplantae
A15_46374,OE21-4-POS,995,Glycerophospholipids|Sphingolipids,2,1,1.0,1,Arthropoda,Animalia
A15_22464,OE21-4-POS,1702,Glycerophospholipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_119861,OE23-POS,223,Glycerolipids,2,1,1.0,1,Chlorophyta,Viridiplantae
A15_105202,ALL-25-2-POS,1432,Glycerophospholipids,3,2,0.5,1,Streptophyta,Viridiplantae
A15_208218,OE23-POS,57,Glycerolipids,6,2,0.5,1,Nematoda,Animalia
A15_206140,OE23-POS,57,Glycerolipids,6,2,0.5,1,Nematoda,Animalia
A15_207972,OE23-POS,57,Glycerolipids,6,2,0.5,1,Nematoda,Animalia
A15_212833,OE23-POS,57,Glycerolipids,6,2,0.5,1,Nematoda,Animalia
A15_215755,OE21-4-POS,610,Sterol lipids,3,2,0.5,1,Streptophyta,Viridiplantae
A15_155422,OE23-POS,8041,Sphingolipids,2,1,1.0,1,Arthropoda,Animalia
A15_150606,OE23-POS,2141,Glycerophospholipids|Sphingolipids,2,1,1.0,1,Arthropoda,Animalia
A15_224,OE23-POS,838,Glycerophospholipids,4,2,1.0,1,Arthropoda,Animalia
A15_201,OE23-POS,838,Glycerophospholipids,4,2,1.0,1,Arthropoda,Animalia
